EXT1,EXT2,EXT3,EXT4,EXT5,EXT6,EXT7,EXT8,EXT9,EXT10,EST1,EST2,EST3,EST4,EST5,EST6,EST7,EST8,EST9,EST10,AGR1,AGR2,AGR3,AGR4,AGR5,AGR6,AGR7,AGR8,AGR9,AGR10,CSN1,CSN2,CSN3,CSN4,CSN5,CSN6,CSN7,CSN8,CSN9,CSN10,OPN1,OPN2,OPN3,OPN4,OPN5,OPN6,OPN7,OPN8,OPN9,OPN10,extraversion,neuroticism,agreeableness,conscientiousness,openness,name
4.0,-1.0,5.0,-2.0,5.0,-1.0,5.0,-2.0,4.0,-1.0,-1.0,4.0,-4.0,2.0,-2.0,-2.0,-2.0,-2.0,-3.0,-2.0,-2.0,5.0,-2.0,4.0,-2.0,3.0,-2.0,4.0,3.0,4.0,3.0,-4.0,3.0,-2.0,2.0,-4.0,4.0,-2.0,4.0,4.0,5.0,-1.0,4.0,-1.0,4.0,-1.0,5.0,3.0,4.0,5.0,36.0,26.0,29.0,22.0,35.0,C_0
3.0,-5.0,3.0,-4.0,3.0,-3.0,2.0,-5.0,1.0,-5.0,-2.0,3.0,-4.0,1.0,-3.0,-1.0,-2.0,-1.0,-3.0,-1.0,-1.0,4.0,-1.0,5.0,-1.0,5.0,-3.0,4.0,5.0,3.0,3.0,-2.0,5.0,-3.0,3.0,-1.0,3.0,-3.0,5.0,3.0,1.0,-2.0,4.0,-2.0,3.0,-1.0,4.0,2.0,5.0,3.0,10.0,25.0,34.0,27.0,25.0,C_1
2.0,-3.0,4.0,-4.0,3.0,-2.0,1.0,-3.0,2.0,-5.0,-4.0,4.0,-4.0,2.0,-2.0,-2.0,-2.0,-2.0,-1.0,-3.0,-1.0,4.0,-1.0,4.0,-2.0,4.0,-1.0,4.0,4.0,3.0,4.0,-2.0,2.0,-2.0,3.0,-3.0,4.0,-2.0,4.0,2.0,5.0,-1.0,2.0,-1.0,4.0,-2.0,5.0,3.0,4.0,4.0,15.0,24.0,32.0,24.0,31.0,C_2
2.0,-2.0,2.0,-3.0,4.0,-2.0,2.0,-4.0,1.0,-4.0,-3.0,3.0,-3.0,2.0,-3.0,-2.0,-2.0,-2.0,-4.0,-3.0,-2.0,4.0,-3.0,4.0,-2.0,4.0,-2.0,4.0,3.0,4.0,2.0,-4.0,4.0,-4.0,1.0,-2.0,2.0,-3.0,1.0,4.0,4.0,-2.0,5.0,-2.0,3.0,-1.0,4.0,4.0,3.0,3.0,16.0,21.0,28.0,15.0,29.0,C_3
3.0,-3.0,3.0,-3.0,5.0,-3.0,3.0,-5.0,3.0,-4.0,-1.0,5.0,-5.0,3.0,-1.0,-1.0,-1.0,-1.0,-3.0,-2.0,-1.0,5.0,-1.0,5.0,-1.0,3.0,-1.0,5.0,5.0,3.0,5.0,-1.0,5.0,-1.0,3.0,-1.0,5.0,-1.0,5.0,5.0,5.0,-1.0,5.0,-1.0,5.0,-1.0,5.0,3.0,5.0,5.0,19.0,31.0,36.0,38.0,38.0,C_4
3.0,-3.0,4.0,-2.0,4.0,-2.0,2.0,-3.0,3.0,-4.0,-3.0,4.0,-3.0,2.0,-2.0,-1.0,-2.0,-1.0,-2.0,-2.0,-2.0,3.0,-1.0,4.0,-2.0,3.0,-2.0,3.0,4.0,4.0,3.0,-2.0,4.0,-1.0,3.0,-2.0,4.0,-3.0,4.0,3.0,5.0,-1.0,5.0,-1.0,3.0,-1.0,5.0,4.0,5.0,2.0,22.0,28.0,28.0,27.0,34.0,C_5
4.0,-3.0,4.0,-3.0,3.0,-3.0,5.0,-3.0,4.0,-3.0,-2.0,4.0,-4.0,2.0,-4.0,-2.0,-2.0,-2.0,-4.0,-4.0,-1.0,2.0,-1.0,5.0,-3.0,5.0,-3.0,4.0,4.0,5.0,3.0,-2.0,4.0,-2.0,1.0,-4.0,4.0,-2.0,2.0,5.0,5.0,-2.0,4.0,-3.0,4.0,-1.0,5.0,5.0,4.0,4.0,25.0,20.0,31.0,23.0,33.0,C_6
3.0,-1.0,5.0,-2.0,5.0,-2.0,5.0,-2.0,3.0,-2.0,-2.0,4.0,-2.0,4.0,-2.0,-1.0,-2.0,-1.0,-1.0,-1.0,-2.0,5.0,-2.0,4.0,-3.0,2.0,-2.0,4.0,4.0,4.0,5.0,-1.0,5.0,-1.0,4.0,-2.0,3.0,-2.0,5.0,5.0,4.0,-1.0,3.0,-1.0,5.0,-1.0,4.0,3.0,4.0,5.0,32.0,34.0,28.0,35.0,33.0,C_7
2.0,-2.0,3.0,-3.0,4.0,-2.0,2.0,-2.0,4.0,-4.0,-3.0,4.0,-4.0,1.0,-2.0,-2.0,-3.0,-2.0,-3.0,-4.0,-1.0,5.0,-1.0,5.0,-1.0,3.0,-1.0,4.0,4.0,4.0,3.0,-3.0,4.0,-0.0,3.0,-4.0,1.0,-2.0,1.0,4.0,4.0,-1.0,5.0,-1.0,4.0,-1.0,5.0,2.0,5.0,5.0,22.0,20.0,35.0,21.0,35.0,C_8
1.0,-5.0,3.0,-5.0,2.0,-3.0,2.0,-4.0,5.0,-4.0,-3.0,3.0,-3.0,3.0,-4.0,-3.0,-3.0,-3.0,-3.0,-3.0,-5.0,3.0,-5.0,1.0,-5.0,3.0,-4.0,2.0,3.0,2.0,2.0,-5.0,1.0,-5.0,1.0,-4.0,3.0,-4.0,2.0,2.0,3.0,-1.0,3.0,-1.0,3.0,-3.0,4.0,3.0,3.0,3.0,12.0,19.0,9.0,7.0,25.0,C_9
