assistant,Level,category,user,References,Link
1.,0,Thesis,"The God of classical monotheism (omniscient, omnipotent, and omnibenevolent mind) exists.
",,
1.1.,1,Pro,"  There are sound arguments for God.
",,
1.1.1.,2,Pro,"    Free Will exists, and Free Will cannot be generated by a cause that does not possess Free Will. Therefore, a cause with Free Will must always have existed. This is God
",,
1.1.1.1.,3,Pro,"      Free will is non-deterministic order. Deterministic systems produce only deterministic things, and random systems produce only randomness. Therefore, non-deterministic order cannot be the product of deterministic order or randomness, so it can only be the product of another instance of non-deterministic order.
",,
1.1.1.1.1.,4,Con,"        Randomness can cause order and be predictable at scale. Statistics is the study of that.
",,
1.1.1.1.1.1.,5,Con,"          Randomness is the quality or state of lacking a pattern or principle of organization; unpredictability. A descriptive quality or state doesn’t cause anything to happen much less exist.
",,
1.1.1.1.2.,4,Con,"        Free will is deterministic. It seems non-deterministic because it's so complex of a system that we, today, don't have the ability to compute it entirely. What we see as random results are results that are unpredictable, but which do come from a complex deterministic system.
",,
1.1.1.1.3.,4,Con,"        Free will is actually deterministic. We are free to exercise choices which are influenced by our experiences, upbringing, values, education, beliefs, biological drives, society and desires. The fact that a person's choices are predictable makes free will deterministic.
",,
1.1.1.1.3.1.,5,Con,"          Predictability and Determinism are distinct and separate things. The assumption that they are the same begs the question.
",,
1.1.1.1.3.1.1.,6,Con,"            Determinism is not assumed to be the same as predictability. Predictability is a consequence of determinism.
",,
1.1.1.2.,3,Con,"      Free will is an illusion. With a sufficient understanding of the human brain, the decisions humans make can be predicted. Free will is simply an emergent property of a complex system.
",,
1.1.1.2.1.,4,Pro,"        Researchers have been able to predict simple and deliberate decisions participants in fMRI scanners will make before the participant is aware they have made up their mind. ncbi.nlm.nih.gov [1]
",1,
1.1.1.2.2.,4,Con,"        If the soul exists, volition is a faculty of the soul, not the body.
",,
1.1.1.2.2.1.,5,Pro,"          The human soul [2] (mind) exists.
",2,
1.1.1.2.2.1.1.,6,Con,"            The existence of the human brain is evidence against the supernatural because it is unclear why souls require brains.
",,
1.1.1.2.2.1.1.1.,7,Con,"              It is an unwarranted assumption to conclude that a simple transceiver would suffice in place of a brain for a soul to interact with the physical world because there would be nothing in place to interpret the commands.
",,
1.1.1.2.2.1.1.1.1.,8,Con,"                If the soul was the mind and the seat of consciousness then the only thing the brain would need to do would be receive information from the soul, decode it, and send it to the rest of the body. The same is true in the reverse direction it would need to receive the senses encode them and send them to the soul. In reality though the brain is a processing unit filled with neural networks that process information themselves without the need to outsource the computing to a soul.
",,
