assistant,Level,category,user,References,Link
1,0,Thesis,"The right thing to do is to pull the lever, diverting the trolley [1] onto the side track where it will kill one person.
",,
1.1.,1,Con,"  By consciously pulling the lever, one chooses to kill one person instead of allowing five people to die. This active choice constitutes murder [2].
",2," https://en.wikipedia.org/wiki/Murder_in_English_law
"
1.1.1.,2,Pro,"    A human being is an end unto itself [3] — individuals should never be treated as a means to an end. One shouldn't pull the lever because that makes another life a tool to save others.
",3," https://pubmed.ncbi.nlm.nih.gov/21447233/
"
1.1.1.1.,3,Pro,"      The one would be treated as a means to an end if the bystander pulled the lever only based on the consequences of their action, and not based on the moral permissability of such an act in and of itself [4].
",4," http://documents.routledge-interactive.s3.amazonaws.com/9781138793934/A22014/ethical_theories/Kant's%20deontological%20ethics.pdf
"
1.1.1.1.1.,4,Pro,"        The one who would be treated solely as a means, as their humanity is not being upheld or confirmed: instead, their life is being judged as an 'acceptable loss'.
",,
1.1.1.2.,3,Pro,"      The revulsion many people feel towards Jarvis Thompson's thought experiment [5] - where the observer pushes a person into the path of a train to save five people's lives - demonstrates that people oppose using others as a means to an end.
",5," https://learning.hccs.edu/faculty/david.poston/phil1301.80361/readings-for-march-31/JJ%20Thomson%20-%20Killing-%20Letting%20Die-%20and%20the%20Trolley%20Problem.pdf
"
1.1.1.2.1.,4,Con,"        The modified trolley problem makes the action an act of violence, rather than merely changing the position of a switch. The thought of committing an act of violence should, and often will, make someone uncomfortable even if it is the right thing to do.
",,
1.1.1.2.1.1.,5,Pro,"          The idea of pushing a man off a bridge brings one much closer to the one person and encourages a much more vivid and distinct imagining of their death compared to the deaths of the five.
",,
1.1.1.2.2.,4,Pro,"        The thought experiment is meant to show the bias in our thinking in the original problem: pulling the lever seems correct only because we are a step removed from the act of killing.
",,
1.1.1.2.2.1.,5,Con,"          That would only be true if there were no differences between the two scenarios except from removal from the act of killing the one, which is false.
",,
1.1.1.2.3.,4,Con,"        By pulling the lever, you do not treat the one person as a means to an end. That would only be the case if you purposely put them on the rails, as is the case in the 'fat man [6]' scenario.
",6," https://en.wikipedia.org/wiki/Trolley_problem#The_fat_man
"
1.1.1.2.3.1.,5,Pro,"          The one person is not deliberately killed 'in order' to save the others as in the 'fat man scenario [7]'. Instead, by pulling the lever, they end up as a victim in the course of saving other lives.
",7," https://en.wikipedia.org/wiki/Trolley_problem#The_fat_man
"
1.1.1.2.3.2.,5,Con,"          Their death is a directly and immediately foreseeable consequence of pulling the lever, and so is part and parcel of doing so. If you pull the lever, you are treating that life as a disposable part of your plan to save others.
",,
1.1.1.3.,3,Con,"      Sacrificing five people to honor the incommensurability of human life still renders them a means to an end, namely an end to achieve a moral principle.
",,
