country,Traditional vs Secular Values,Survival vs Self-expression Values,Neutrality,Fairness,Skeptisism,Societal Tranquility,Traditional vs Secular Values_Z,Survival vs Self-expression Values_Z,Neutrality_Z,Fairness_Z,Skeptisism_Z,Societal Tranquility_Z,Traditional vs Secular Values_Ranks,Survival vs Self-expression Values_Ranks,Neutrality_Ranks,Fairness_Ranks,Skeptisism_Ranks,Societal Tranquility_Ranks
Andorra,0.2587005135383846,0.607675418483081,0.0510502126355464,0.0309733559508725,0.3060752561123673,0.3047588335060957,-1.8959162351862546,1.6872782707517313,-0.8931034854042753,-1.0222421801637351,0.16157384732774552,-1.1630287090977591,58.0,7.0,48.0,59.0,28.0,55.0
Argentina,0.3195906830766619,0.549583865652481,0.0555383848454636,0.0604694310728268,0.2060640966207796,0.3002631231212613,0.24660235695693844,-0.09088461271903456,-0.8268271295383175,-0.3273445652149164,-0.8589011763137765,-1.1982812902473268,35.0,35.0,45.0,36.0,49.0,56.0
Armenia,0.3476902915432854,0.5245560872974959,0.0315752115581167,0.0242635205876992,0.2089102099329089,0.6124298967309258,1.2353322952738164,-0.856976485944447,-1.180688729804123,-1.1803190962039272,-0.8298605416061476,1.2495375363381154,4.0,54.0,61.0,62.0,48.0,7.0
Australia,0.3299619906690309,0.6175798763786782,0.1665026822630229,0.0386724338388452,0.2890564606704565,0.292711768421581,0.6115335028214272,1.990450393938163,0.8117707049680866,-0.8408597135292067,-0.012079330669805748,-1.2574943448154432,18.0,5.0,14.0,54.0,34.0,57.0
Bangladesh,0.3350473196460095,0.5484213511113863,0.0653559332900849,0.0532859259259259,0.4299862003986027,0.4531606948292441,0.7904689855596039,-0.12646879161846003,-0.6818524485291396,-0.496580660963755,1.4259129915067046,0.0006469308386947777,14.0,37.0,42.0,43.0,6.0,38.0
Bolivia,0.3357229709869093,0.4950040434975878,0.1125705971150915,0.066517619877701,0.1835976231046718,0.4980036597098604,0.8142428651638366,-1.7615546019561577,0.015361409451464053,-0.1848553710461988,-1.0881403453129137,0.3522777351213322,13.0,64.0,32.0,30.0,57.0,29.0
Brazil,0.3054216287215404,0.5241539541252517,0.0524207992963365,0.0646181259394957,0.2007633437082296,0.4417008011572647,-0.25195861961994115,-0.8692856470230335,-0.8728641797299203,-0.22960552176323912,-0.9129880000367564,-0.0892144697087404,46.0,55.0,47.0,31.0,52.0,39.0
Canada,0.3244107211990487,0.618338508457971,0.1559021901443504,0.093529008351308,0.3245832088933134,0.2313149162103865,0.416203154103033,2.013671866594308,0.6552343790091543,0.4515055464371805,0.35042180837234044,-1.73893049831065,30.0,4.0,17.0,19.0,23.0,63.0
Chile,0.3059215517900082,0.5454067702606773,0.11197,0.0860958936646633,0.2307233992425875,0.4713766531902438,-0.2343680220414566,-0.21874409700724837,0.006492456508010431,0.2763889030860158,-0.6072872308911208,0.14348521341679651,44.0,41.0,33.0,22.0,44.0,34.0
China,0.249531877891756,0.5751806572645355,0.0423395448924275,0.0385760455125601,0.5157457463716931,0.4247386772922437,-2.2185294334487398,0.6926245648238275,-1.0217329782515916,-0.8431305247394267,2.3009700866275438,-0.2222209574126168,62.0,15.0,56.0,55.0,1.0,40.0
Colombia,0.3362850511695906,0.5239012571423785,0.237516447368421,0.0588102339181286,0.1802254385964912,0.5135854610075345,0.8340205608214741,-0.8770206166324794,1.8604233295503625,-0.36643356742156846,-1.1225488061607116,0.4744605867026238,12.0,56.0,4.0,38.0,59.0,24.0
Cyprus,0.2934286250601791,0.5298172766618913,0.110727499644081,0.0362227340427692,0.2864388417658733,0.3907840247539644,-0.6739517511049047,-0.6959332499689918,-0.011855412490979218,-0.8985721562388059,-0.038788497198003986,-0.4884723485273373,54.0,50.0,34.0,56.0,35.0,45.0
Czechia,0.2872500509660544,0.5509493540757358,0.0295226243718295,0.126397410606175,0.29675700744274,0.3068567679301375,-0.8913548224048599,-0.049087471590424696,-1.2109990638202026,1.2258517684226684,0.06649405743454498,-1.1465780044928788,55.0,33.0,64.0,8.0,32.0,54.0
Germany,0.3063623729837615,0.5920981154426146,0.0626423997850099,0.0220531489467094,0.3364327231515506,0.286341972931318,-0.21885701902423654,1.2104622666778457,-0.7219229056829815,-1.2323932103063513,0.4713296491001773,-1.3074423426188904,43.0,9.0,44.0,64.0,20.0,58.0
Ecuador,0.3378426224600815,0.5166891464239187,0.1261968652214445,0.0856141344636677,0.2057658943086967,0.5108584716757706,0.888826212928706,-1.097780898741714,0.21657904369154218,0.2650391449108232,-0.861943916874127,0.4530772224547165,10.0,58.0,29.0,24.0,50.0,25.0
Egypt,0.3083049582829794,0.5356812229865954,0.0261551292743953,0.0395177348072869,0.1375731921848074,0.3717871485943775,-0.1505040295029647,-0.5164398262751919,-1.260726501408551,-0.8209452800171068,-1.5577557609304755,-0.6374341056421223,41.0,48.0,65.0,53.0,65.0,47.0
Ethiopia,0.3159934560206084,0.5592579523368616,0.1468477349998296,0.0408618315913431,0.3492799674383612,0.6555941442208434,0.12002813477629273,0.20523592521540843,0.5215282146145211,-0.7892797229679306,0.6024179394865539,1.5880048767903359,37.0,22.0,21.0,51.0,17.0,2.0
United Kingdom,0.3070179624522949,0.6196029773109727,0.1433665230050683,0.0453046710621525,0.271466783054814,0.3237192692743345,-0.19578904868030303,2.052376832672062,0.4701215318451235,-0.6846109309642109,-0.1915575686176356,-1.0143526950009087,42.0,3.0,22.0,46.0,38.0,52.0
Greece,0.3248044230831438,0.509141719175235,0.0310009691299165,0.0233780719196122,0.2170369738796446,0.2583661802870321,0.43005618839135595,-1.3288051070020919,-1.189168505923371,-1.2011793688018666,-0.746938199011252,-1.5268112111614502,29.0,60.0,62.0,63.0,46.0,62.0
