country,Q179,Q181,Q180,Q191,Q189,score
AND,0.0432469258889996,0.0251348651348651,0.0526029526029525,0.0207485029940119,0.0131335331335331,0.0309733559508725
ARG,0.0624042048151915,0.072006734006734,0.0887535250987027,0.0508064516129032,0.0283762398306029,0.0604694310728268
ARM,0.0116602809706257,0.0231440329218107,0.0517452485380116,0.0189080459770114,0.0158599945310363,0.0242635205876992
AUS,0.0343366778149386,0.0357687302472578,0.0660090576338482,0.0416946308724832,0.0155530726256983,0.0386724338388452
BGD,0.047412037037037,0.04995,0.0545092592592592,0.0555916666666666,0.0589666666666666,0.0532859259259259
BOL,0.0473788759689922,0.0859853455818022,0.0807135076252723,0.0702397260273972,0.048270644185041,0.066517619877701
BRA,0.0445818088452403,0.0472563409295738,0.1552367941712203,0.0518861414606095,0.0241295442908346,0.0646181259394957
CAN,0.1020789779326364,0.102112715004701,0.1232288037166085,0.099581881533101,0.0406426635694928,0.093529008351308
CHL,0.0867666554319739,0.1054753023623827,0.1107050197405527,0.072901921132457,0.0546305696559503,0.0860958936646633
CHN,0.0246300575914309,0.0493605592347314,0.0387988385342007,0.0444043679682329,0.0356864042342044,0.0385760455125601
COL,0.0501513157894736,0.0715657894736842,0.0818713450292397,0.0548486842105263,0.0356140350877192,0.0588102339181286
CYP,0.0388888888888888,0.0443501683501683,0.0474350358422938,0.0297183098591549,0.02072126727334,0.0362227340427692
CZE,0.1410161920714684,0.1664481792717086,0.1759820426487093,0.0824769874476987,0.0660636515912897,0.126397410606175
DEU,0.0138859802210587,0.0267599883347914,0.040219298245614,0.0225213394615889,0.006879138470494,0.0220531489467094
ECU,0.0785334077796389,0.1072283066554338,0.1038565945895347,0.0823598326359832,0.056092530657748,0.0856141344636677
EGY,0.0056559739655973,0.0146111576790537,0.0417940011318619,0.0355872483221476,0.099940292937774,0.0395177348072869
ETH,0.0404089757509952,0.0401706608569353,0.0425057155921353,0.0350570032573289,0.0461668024993208,0.0408618315913431
GBR,0.041356259659969,0.0348485238034023,0.0614938080495356,0.0435200927357032,,0.0453046710621525
GRC,0.0111687587168758,0.0310402684563758,0.0528080469404861,0.0133668341708542,0.0085064513134688,0.0233780719196122
GTM,0.1056862745098039,0.1076002958032908,0.1077072899276571,0.0847674418604651,0.0567025683512841,0.0924927740905002
HKG,0.0876593806921675,0.0830559579376575,0.0956167176350662,0.0912295081967213,0.0685790855978989,0.0852281300119023
IDN,0.0475695313586427,0.0765757290686735,0.116776281449003,0.0604475743348982,0.0430906688916701,0.0688919570205775
IND,0.0759477124183006,0.0761699581089168,0.0812230312837108,0.0650568521843207,0.0675918205280921,0.0731978749046682
IRN,0.0393464052287581,0.0408366711170449,0.1036340571599134,0.0565330661322645,0.0320287599140167,0.0544757919103995
IRQ,0.1211324074074074,0.1354611111111111,0.1349444444444444,0.1044166666666666,0.1041314814814814,0.1200172222222222
JOR,0.0321546296296296,0.0364440734557596,0.0859923628574089,0.0286761032472939,0.0382051993708946,0.0442944737121973
JPN,0.0091345029239766,0.0318339622641509,0.0200150489089541,0.0214694800301431,0.0171657888136443,0.0199237565881738
KAZ,0.1019872141184945,0.1023596419853539,0.1513843050971763,0.0732558139534883,0.0889921171171171,0.103595818454326
KEN,0.1640571428571428,0.1801280663780663,0.1979510786172036,0.1405742411812961,0.1524379191589631,0.1670296896385344
KGZ,0.0605560316100161,0.0612788259958071,0.0935471554028254,0.0421447028423772,0.0563958273518997,0.0627845086405851
KOR,0.1039036144578313,0.1002516733601071,0.0951450245426148,0.0813012048192771,0.0653761713520749,0.089195537706381
LBN,0.0831049330712346,0.135187037037037,0.1214424951267056,0.0709916666666666,0.0674080267558528,0.0956268317314993
LBY,0.0135511796042617,0.0200940318556898,0.0383855814399386,0.0214535901926444,0.0451054729269952,0.027717971203906
MAC,0.1076560121765601,0.1131060854364689,0.1005010893246187,0.0919823356231599,0.0789760348583877,0.098444311483839
MAR,0.1296879629629629,0.1468351851851851,0.1423981481481481,0.1275166666666666,0.14645,0.1385775925925925
MDV,0.0252364066193853,0.0237407763875521,0.0306306306306306,0.016808100289296,0.0105025179470695,0.0213836863747867
MEX,0.1141892671667628,0.1354585999612177,0.1539747064137308,0.0973824724318049,0.077184328837508,0.1156378749622048
MMR,0.0418144750254842,0.059337037037037,0.0483518518518518,0.0307089241034195,0.0343990362338986,0.0429222648503382
MNG,0.1959734093067426,0.1996323429656762,0.2016619183285849,0.1533333333333333,0.1506457739791073,0.1802493555826889
MYS,0.1796471185580096,0.1713954472370313,0.1873656596428873,0.1593526275704493,0.1375763730219175,0.167067445206059
NGA,0.0581223571749887,0.0587206477732793,0.0613902395101746,0.0598140662894098,0.0608960863697705,0.0597886794235246
NIC,0.0564666666666666,0.0932537037037037,0.0925555555555555,0.06825,0.0377537037037037,0.0696559259259259
NIR,0.0262805181863477,0.0287593423019431,0.0742742742742742,0.0473991031390134,,0.0441783094753946
NLD,0.0297001852787603,0.0380079819538434,0.0666892158520773,0.0499697732997481,0.0182083193183092,0.0405150951405477
NZL,0.0329762675296655,0.0282613869955642,0.0616623432771292,0.0455034213098729,0.0087850265065454,0.0354376891237555
PAK,0.0673072299501974,0.0541919191919191,0.075274027922003,0.0505239064089521,0.0605407255304585,0.061567561800706
PER,0.0477490833731866,0.0587897832567883,0.0666666666666666,0.0426240115025161,0.0309518120270808,0.0493562713652477
PHL,0.2259324236517219,0.2644814814814815,0.2395010202188832,0.1910416666666666,0.1571068482995088,0.2156126880636524
PRI,0.0308674027653436,0.0306578816012778,0.0403859544414602,0.0355336322869955,0.01667362976226,0.0308237001714674
ROU,0.0403511615343057,0.0511038607939097,0.0861947382695958,0.0270454545454545,0.0251197550873401,0.0459629940461212
RUS,0.1088758023306537,0.1172203304325892,0.2054279882638091,0.0753998865570051,0.0730542813455657,0.1159956577859246
SGP,0.0299594241565227,0.0336213991769547,0.0414191969747525,0.0408886669995007,0.0206981906981906,0.0333173756011842
SRB,0.1780411111111111,0.1789248762932973,0.1898027415580073,0.143436873747495,0.1362502783344466,0.1652911762088715
SVK,0.1157981154958485,0.1541579787733633,0.1251920554618699,0.0707634228187919,0.0635721000188005,0.1058967345137348
THA,0.0712771048302676,0.0630776132794975,0.0582024824285927,0.062703429724277,0.0643145161290322,0.0639150292783334
TJK,0.1018824074074074,0.1032574074074074,0.1106388888888888,0.0874416666666666,0.0835629629629629,0.0973566666666666
