country,Q179,Q181,Q180,Q191,Q189,score
AND,1.505483549351944,1.3056943056943058,1.6763236763236764,1.2964071856287425,1.2037962037962038,0.0309733559508725
ARG,1.7293997965412005,1.875757575757576,2.141116751269036,1.7258064516129032,1.440320962888666,0.0604694310728268
ARM,1.1362889983579638,1.2814814814814814,1.665296052631579,1.2701149425287357,1.2461033634126333,0.0242635205876992
AUS,1.4013377926421404,1.4350250976017846,1.8486878838637637,1.5956375838926171,1.241340782122905,0.0386724338388452
BGD,1.5541666666666667,1.6075,1.7008333333333334,1.794166666666667,1.915,0.0532859259259259
BOL,1.5537790697674418,2.045767716535433,2.037745098039216,2.0034246575342465,1.7490272373540856,0.066517619877701
BRA,1.5210860774119006,1.574739281575898,2.9959016393442623,1.741230592294422,1.3744239631336406,0.0646181259394957
CAN,2.193130910900946,2.241911398705824,2.5843703334992534,2.422598307615729,1.6306620209059233,0.093529008351308
CHL,2.0141557128412537,2.2828077314343846,2.4233502538071066,2.0414560161779574,1.847715736040609,0.0860958936646633
CHN,1.2878837900297129,1.6003311258278146,1.4988422097254384,1.6343481138318994,1.553754548461793,0.0385760455125601
COL,1.5861842105263158,1.8703947368421048,2.0526315789473686,1.7835526315789474,1.5526315789473684,0.0588102339181286
CYP,1.4545454545454546,1.539393939393939,1.6098790322580645,1.4245472837022133,1.321536905965622,0.0362227340427692
CZE,2.648241206030151,3.02436974789916,3.2626262626262625,2.178242677824268,2.0251256281407035,0.126397410606175
DEU,1.162303664921466,1.3254593175853018,1.5171052631578947,1.3217334208798424,1.1067452521283565,0.0220531489467094
ECU,1.917922948073702,2.304128053917439,2.3352990732940184,2.176569037656904,1.870401337792642,0.0856141344636677
EGY,1.0661087866108787,1.1777032690695726,1.5373514431239388,1.5083892617449663,2.550797649034425,0.0395177348072869
ETH,1.472312703583062,1.488562091503268,1.5465020576131687,1.500814332247557,1.7163814180929096,0.0408618315913431
GBR,1.48338485316847,1.4238333976089472,1.7906346749226003,1.6217156105100463,,0.0453046710621525
GRC,1.1305439330543934,1.37751677852349,1.6789606035205364,1.190954773869347,1.131996658312448,0.0233780719196122
GTM,2.235294117647059,2.30865224625624,2.3848080133555927,2.2109634551495017,1.87986743993372,0.0924927740905002
HKG,2.0245901639344264,2.0101400289715112,2.229357798165138,2.30327868852459,2.064158224794983,0.0852281300119023
IDN,1.5560075093867334,1.9313264346190029,2.5014093329157534,1.8635367762128323,1.668648310387985,0.0688919570205775
IND,1.8877005347593585,1.926391382405745,2.0442961165048543,1.929383602633154,2.0488385944014293,0.0731978749046682
