country,Q100,Q101,Q102,Q103
Andorra,0.20905839328055303,0.19385467757800426,0.24739782180605235,0.23596325118603922
Argentina,0.21776281892577307,0.21539408619778252,0.23977731235822736,0.23494616820678904
Armenia,0.2043483766537651,0.20822422708768845,0.2388842281879195,0.2301573330399384
Australia,0.11930890622165792,0.12165276930377604,0.22473396215006955,0.19002219550889515
Bangladesh,0.2063331092398674,0.22688579131532155,0.232407840960986,0.19906664048331393
Bolivia (Plurinational State of),0.1756617961523049,0.18379267437088811,0.21739501682121695,0.17911717874820082
Brazil,0.21123360236266617,0.2068150214040596,0.24575416706052874,0.22397177766305285
Canada,0.12507474752873815,0.15883223480913075,0.2084445498611951,0.19727334377850012
Chile,0.19546308724832218,0.1994026845637584,0.21881879194630874,0.2129530201342282
China,0.22873016578514604,0.2392743052390787,0.2302984255624499,0.230543579714654
Colombia,0.14210526315789476,0.14376545390321444,0.16006711409395974,0.13993288590604028
Cyprus,0.18574131805001567,0.18119441261526714,0.22201698034466957,0.21339014661638783
Czechia,0.21920573245193525,0.23711964474945757,0.24607752912392541,0.2428992392242104
Germany,0.2003368933494431,0.1945868632412807,0.2453275555320686,0.2321223456925955
Ecuador,0.17075179064914559,0.1782396544217841,0.20888050041910672,0.17646261270422345
Egypt,0.21259326843958334,0.2305108843499337,0.25397003095420684,0.2535446205170976
Ethiopia,0.18997940062462626,0.17279937877863447,0.17608955972040435,0.15150508339424548
United Kingdom,0.12952134998776435,0.13819165956739463,0.2244692241401823,0.20667705863830477
Greece,0.2204168138466973,0.23320328461637496,0.24885995675118489,0.2428992392242104
Guatemala,0.1454925634885839,0.14587627418494287,0.1733030043691726,0.16125536827653505
"China, Hong Kong SAR",0.17198027007358296,0.19159699199482497,0.20169159860920194,0.19689819681410203
Indonesia,0.12885906040268458,0.08925291969422534,0.19546426032082267,0.1801510225352291
India,0.11762628046626634,0.14285955942367307,0.1525647171620326,0.09742313979075948
Iran (Islamic Republic of),0.19985884912589852,0.1421350251398024,0.2249491696205265,0.1791713024441015
Iraq,0.1992301788362659,0.1427430032415651,0.22431461040093986,0.18825474452132795
Jordan,0.21036797037722754,0.21437268808393015,0.2460194399444573,0.2316885164191907
Japan,0.21773901860708117,0.237169955391231,0.2506430092834465,0.2395480112292847
Kazakhstan,0.21840970709809326,0.2213485146972075,0.23546467693995557,0.2390669891777104
Kenya,0.12381546968717255,0.10116074375618882,0.13238868202189571,-0.005457508216643212
Kyrgyzstan,0.21431580129735198,0.21047069800906099,0.24155443448493313,0.22916678386786457
Republic of Korea,0.22666774480472227,0.23236570442845209,0.23516347268267704,0.174938680898089
Lebanon,0.2261073825503356,0.22493847874720363,0.23909395973154365,0.2384563758389262
Libya,0.11565155645142819,0.11277788539328405,0.1797172640297016,0.1492077769321248
"China, Macao SAR",0.21182637703030066,0.21666843515399106,0.23038534344677866,0.2288504475377144
Morocco,0.16489932885906042,0.15830536912751678,0.19106263982102908,0.18574944071588367
Maldives,0.2201023639296597,0.22648353980422847,0.238636740817451,0.23787996468378045
Mexico,0.18931042876517024,0.1868845622137611,0.20153513847103297,0.18995602869706085
Myanmar,0.23255033557046983,0.10760626398210292,0.2388814317673378,0.1576957494407159
Mongolia,0.12257541116601521,0.13280232072178383,0.13390040235677822,0.06897427702796832
Malaysia,0.1396668319387437,0.14411384349586226,0.16277084600561242,0.16238237143280668
Nigeria,0.14025792650147698,0.16622880607559168,0.18141778523489935,0.1475505866206966
Nicaragua,0.17134228187919467,0.1804474272930649,0.17809843400447425,0.1704474272930649
Northern Ireland,0.13525838168679083,0.1378944657384823,0.23581870000919375,0.19040966928846914
Netherlands,0.20501042007951015,0.202722072633257,0.2139936743037877,0.24239675917528267
New Zealand,0.13592140209057332,0.12116322093635641,0.2285058647073867,0.19505634015454085
Pakistan,0.18155479700105567,0.17527808416369112,0.19868217883842168,0.17466882769307937
Peru,0.22319899256485848,0.2263324974270515,0.24711554769461877,0.21589656306210475
Philippines,0.1994951049812204,0.1570637583892618,0.20083892617449667,0.21972449076691428
Puerto Rico,0.161431132126034,0.12184751344366171,0.21384801367293346,0.15998999541456502
Romania,0.2165895614778133,0.22196055823262598,0.2397398105141788,0.23790751721291895
Russia,0.22590942417235355,0.23803908165986265,0.24805998322147654,0.2487470155847574
Singapore,0.1945640257760903,0.20901580471769657,0.23915746410331828,0.22175726623706518
Serbia,0.22054966508686707,0.21211862514611438,0.24255637715231357,0.24729012877229195
Slovakia,0.21283783783783788,0.21392617449664433,0.21281516415744606,0.22417924346176996
Thailand,0.12628187919463088,0.13459060402684567,0.1356778523489933,0.12122595078299779
Tajikistan,0.15161073825503357,0.17051454138702463,0.18128635346756153,0.18511185682326622
Tunisia,0.21782200974533422,0.21615170853957233,0.24093731452312472,0.23937932336634687
Turkey,0.22165559468886184,0.22979220661634056,0.24429530201342284,0.2462133328049502
Taiwan,0.1623908641419768,0.1768508508618372,0.21311880237286462,0.2085311177816679
Ukraine,0.2108286009292721,0.21989134932106763,0.2359981470908249,0.22385131646876616
Uruguay,0.1737901801483575,0.13013402210574765,0.21418629328996872,0.18384320830073705
United States of America,0.1110485562483143,0.11585777166509621,0.2028062064080927,0.20282196269090527
Uzbekistan,0.1478065691808525,0.12559764823340178,0.1420600144212103,0.15656989707689487
Venezuela (Bolivarian Republic of),0.22049517793694662,0.22056849585471774,0.2355309909198579,0.22910157351531218
Vietnam,0.22852348993288593,0.2100391498881432,0.2318680089485459,0.22655480984340046
Zimbabwe,0.1753138801350119,0.16651218885749705,0.2050020362962839,0.14818658052854441
