country,Q73,Q71,Q74,Q72,Q70,score
AND,2.763987792472024,2.5582329317269075,2.4934934934934936,3.042596348884381,2.422805247225025,0.3060752561123673
ARG,3.0635416666666666,2.93502538071066,3.136222910216718,3.2577639751552794,3.1214574898785425,0.2060640966207796
ARM,3.2595097210481825,2.89957805907173,2.757105943152455,3.4419983065198982,3.090350877192982,0.2089102099329089
AUS,2.8134078212290503,2.8173719376391984,2.548876404494382,3.1181058495821725,2.317851147174035,0.2890564606704565
BGD,1.9922813036020584,1.890480202190396,2.115695067264574,2.638225255972696,1.989873417721519,0.4299862003986027
BOL,3.2841140529531567,2.943516699410609,3.1901477832512315,3.399314061734444,3.179989944695827,0.1835976231046718
BRA,3.451461988304094,3.290116279069768,2.6423188405797102,3.530399536768964,2.5904537418974662,0.2007633437082296
CAN,2.601543056246889,2.5868591338974616,2.4109009457441517,2.9243404678944747,2.3514186162269786,0.3245832088933134
CHL,3.1654749744637387,2.8158697863682605,2.776073619631902,3.31237322515213,2.875763747454175,0.2307233992425875
CHN,1.694904037061549,1.5609514370664024,1.8824113945014904,1.7213386348575217,1.8646591661151557,0.5157457463716931
COL,3.307236842105264,3.1171052631578946,3.213157894736842,3.3046052631578946,3.090131578947368,0.1802254385964912
CYP,2.8625792811839323,2.7089005235602093,2.586387434554974,3.11983032873807,2.41151832460733,0.2864388417658733
CZE,2.777307366638442,2.8493265993265995,2.4478260869565216,3.0271186440677966,2.346644010195412,0.29675700744274
DEU,2.6271418779986293,2.6233153638814017,2.329054054054054,2.908344733242134,2.080623306233062,0.3364327231515506
ECU,3.168067226890756,2.911467116357504,3.3435114503816794,3.308984047019312,2.714648602878916,0.2057658943086967
EGY,3.4595141700404857,,3.0946073793755917,3.7012542759407063,,0.1375731921848074
ETH,2.512380952380952,2.1934156378600824,2.4103819784524974,2.9891500904159134,2.2632890365448506,0.3492799674383612
GBR,3.0189125295508275,3.0423465423465426,2.524355300859599,3.125098347757671,2.2348939575830333,0.271466783054814
GRC,3.2955122777307366,3.346316680779001,2.6476510067114094,3.4352243861134637,2.4018612521150597,0.2170369738796446
GTM,3.371847030105777,3.3197721724979656,3.3580146460537024,3.408462164361269,3.1700569568755084,0.1526981285598047
HKG,2.799902391410444,2.500241662638956,2.456003889158969,2.9523341523341524,1.9765853658536583,0.3298869051789477
IDN,2.4682664982633407,1.854945054945055,2.0444862155388472,2.7658968680797216,2.012256442489001,0.4044007560844566
IND,1.992258064516129,2.2123039806996383,1.8784987277353689,2.701226993865031,1.934416365824308,0.4246781824584681
IRN,2.354663036078965,2.584956346541303,2.200937709310114,2.70260989010989,1.9838709677419355,0.3706730651468
IRQ,3.5192644483362523,3.274374460742019,2.91674047829938,3.554878048780488,2.6686746987951806,0.1812004295326343
JOR,3.5690265486725665,2.8103616813294234,2.735163861824624,3.579175704989154,1.7544910179640718,0.244338781699919
JPN,2.762180016515277,2.64119066773934,2.5659609120521174,2.823283082077052,1.9618506493506491,0.3257283957591815
KAZ,2.1806451612903226,2.114583333333333,2.184504792332268,2.318548387096774,2.2306464485235438,0.4101665186995049
KEN,2.756058158319871,2.5691318327974275,2.507258064516129,3.0707892595606183,2.4515612489992,0.3030062839146391
KGZ,2.8206008583690987,2.520815632965166,2.4115646258503403,2.873166522864538,2.757264957264957,0.3030219965298666
KOR,3.040160642570281,2.52289156626506,2.440160642570281,2.903614457831325,2.376706827309237,0.30375046854083
LBN,3.1791421362489487,3.0907563025210085,3.2298558100084818,3.240336134453781,2.72544080604534,0.2041222928003097
LBY,3.4761061946902654,2.918848167539267,2.769028871391076,3.6753488372093024,2.368873602751505,0.2143809279398634
MAC,2.3270935960591133,2.22244094488189,2.2889546351084813,2.3736372646184343,2.116256157635468,0.3945628892738508
MAR,3.04,3.0175,2.7841666666666667,3.0966666666666667,2.6908333333333334,0.24305
MDV,3.37984496124031,2.9651500484027107,2.603297769156159,3.462585034013605,2.71207729468599,0.2204377668847465
MEX,3.372674418604652,3.3216340621403915,3.364172068355922,3.4931034482758623,3.1723937099592314,0.1486311679767491
MMR,2.078333333333333,1.8983333333333332,2.0591666666666666,2.245833333333333,2.4191666666666665,0.4277005555555555
MNG,2.8852672750977835,2.6957908163265305,2.670336787564767,3.014944769330734,2.663492063492064,0.2766655094195985
MYS,2.6399694889397405,2.517530487804878,2.3264683447749808,2.8268497330282227,2.2332317073170733,0.338635557943108
NGA,2.827049180327869,2.691808596918086,2.5378973105134475,2.8943948009748173,2.6233660130718954,0.292645642658194
NIC,3.185833333333333,2.935833333333333,3.208333333333333,3.2925,3.0225,0.1987488888888889
NIR,3.207289293849658,3.163636363636364,2.4674418604651165,3.256818181818182,2.275058275058275,0.2513838518826679
NLD,2.826109936575053,2.870741482965932,2.7726550079491257,3.0476431829700963,2.2536487166582786,0.2807704456630047
NZL,2.588235294117647,2.4485219164118246,2.44692144373673,2.90216271884655,2.1116650049850447,0.3406119586002865
PAK,2.5121816168327795,2.290751149718957,2.4195922989807475,2.7645833333333334,2.2731481481481484,0.3531090846022854
PER,3.7028985507246377,3.447501810282404,3.5279593318809006,3.6529581529581527,3.467391304347826,0.0997063100754029
PHL,2.188333333333333,1.8833333333333333,2.050875729774812,2.3291666666666666,1.9433333333333331,0.4380796881660643
PRI,3.344186046511628,3.306379155435759,3.239051094890511,3.499549143372408,2.787387387387388,0.1713013171820617
ROU,3.353769676884838,3.164154103852596,3.020678246484698,3.438902743142145,2.754799301919721,0.1918237477410317
RUS,2.7267657992565058,2.477363896848137,2.3975044563279857,2.866230677764566,2.602112676056338,0.3169291501580617
SGP,2.161038961038961,1.990950226244344,2.066225165562914,2.426032409827496,1.970843989769821,0.4283232856284885
SRB,3.239583333333333,3.05424769703173,3.085327783558793,3.392378990731205,2.9342770475227504,0.1951045758209895
SVK,3.1665250637213256,3.1596283783783785,2.537807986406117,3.210526315789474,2.7955894826123835,0.2322074421058498
THA,2.427606901725431,2.402474526928676,2.297514619883041,2.6543026706231454,2.084241103848947,0.3695720519400732
TJK,1.7227635075287866,1.5691263782866836,1.8753387533875336,2.128440366972477,1.8298429319371727,0.4984903413455462
TUN,3.512690355329949,3.404560810810811,3.028109028960818,3.5637130801687764,2.5488013698630136,0.1741822047397659
TUR,2.3671209540034077,2.136363636363636,2.3208351086493395,2.5038200339558574,2.0724455611390287,0.3914932101067281
TWN,2.907035175879397,2.546666666666667,2.3391376451077943,3.006677796327212,2.4623115577889445,0.3064870342973562
UKR,3.24344262295082,3.1637572734829598,2.8408333333333333,3.2273858921161827,3.1610968294772923,0.1990730794324747
URY,2.6839872746553555,2.4974567650050865,2.490740740740741,2.9608247422680414,2.304663212435233,0.3213112682034528
USA,3.0949785908913974,2.923613803799922,2.6422413793103448,3.144690781796966,2.387222438644332,0.2612052731825759
UZB,1.956989247311828,1.7148659626320064,1.9034874290348744,2.1482701812191105,1.8507340946166395,0.4763226851901404
VEN,3.339495798319328,3.3092436974789914,3.247058823529412,3.372268907563025,3.2478991596638656,0.1585663865546218
VNM,1.7306368330464716,1.7028862478777589,2.019810508182601,1.797971259509721,1.7991489361702129,0.4998118788618004
ZWE,2.6985049833887045,2.530629139072848,2.4958471760797343,2.9857740585774057,2.492524916943521,0.3103793645259979
