country,Q148,Q147,Q146,Q143,score
AND,0.248908969210174,0.4018741633199465,0.2990304246071548,0.2692217768871075,0.3047588335060957
ARG,0.3212084181941615,0.3281429052915403,0.3192450286484665,0.2324561403508771,0.3002631231212613
ARM,0.6722158312791017,0.6597416872767244,0.7593775593775595,0.3583845089903181,0.6124298967309258
AUS,0.1592626377803117,0.4539735715615112,0.3649915302089215,0.1926193341355796,0.292711768421581
BGD,0.4973690476190476,0.47336860670194,0.4713122171945701,0.3705929078014184,0.4531606948292441
BOL,0.5639340515834149,0.5235449735449736,0.5483439386523087,0.3561916750587445,0.4980036597098604
BRA,0.4935273573923166,0.4208648439014931,0.4744168112589165,0.3779941920763327,0.4417008011572647
CAN,0.2156462585034013,0.2971295835407334,0.2567114650738344,0.1557723577235772,0.2313149162103865
CHL,0.5080586830433298,0.5039755351681958,0.521596724667349,0.3518756698821007,0.4713766531902438
CHN,,0.4750440917107584,0.4576469290991289,0.3415250110668437,0.4247386772922437
COL,0.5842499999999999,0.536140350877193,0.5540350877192982,0.3799164054336468,0.5135854610075345
CYP,0.3559356418328085,0.4586776859504132,0.525068870523416,0.2234539007092199,0.3907840247539644
CZE,0.2840746934225195,0.3522853957636567,0.4617614269788183,0.1293055555555555,0.3068567679301375
DEU,0.2068906455862977,0.4507560815253124,0.3608771929824562,0.1268439716312056,0.286341972931318
ECU,0.5565767284991567,0.5625140291806959,0.549454240134341,0.3748888888888889,0.5108584716757706
EGY,,,,0.3717871485943775,0.3717871485943775
ETH,0.7618581907090465,0.710239651416122,0.7103860793909734,0.4398926553672316,0.6555941442208434
GBR,0.2382905982905982,0.4082978997551862,0.457733023495998,0.1905555555555556,0.3237192692743345
GRC,0.1960363429869392,0.3472552348613469,0.3133165124754696,0.1768566308243727,0.2583661802870321
GTM,0.4429096989966554,0.4069941715237302,0.4347729789590255,0.3497911581231353,0.4086170019006366
HKG,0.2771663442940039,0.3281456420170775,0.2574002574002574,0.2395182100277642,0.2755576134347757
IDN,0.7013191622381995,0.7088597039816552,0.6920317062995411,0.4297985901309164,0.6330022906625781
IND,0.5584452893958597,0.5718263718263719,0.570917225950783,0.3093131573298991,0.5026255111257285
IRN,0.1779245283018867,0.3357624831309042,0.3018018018018018,0.2231615598885793,0.259662593280793
IRQ,0.6120190156599553,0.6396878483835007,0.633806739069897,0.3579373219373219,0.5608627312626687
JOR,0.5073249651324965,0.5806020066889632,0.5632107023411371,0.3220768733850129,0.4933036368869024
JPN,0.4316119174942703,0.6119425547996977,0.6045648357160773,0.2948259923871669,0.4857363250993031
KAZ,,0.5746633690574334,0.5598684210526316,0.3273344235486509,0.4872887378862385
KEN,0.5876228632478632,0.6193275086047128,0.5824169986719788,0.396517452704503,0.5464712058072644
KGZ,0.7267396798652064,0.703728813559322,0.6828555368184374,0.3941631740709695,0.6268718010784838
