country,Q3,Q5,Q40,Q41,Q43,Q131,Q142,Q150,Q46,Q49,Q22,Q182,Q209,Q218,Q57,Q58,Q59,Q60,Q61,Q62,Q63,score
AND,0.8595617529880478,0.8246839654025283,0.5655655655655656,0.46175,0.5989010989010989,0.9042871385842473,0.5169660678642715,0.634,0.7632802124833997,0.7264360168551786,0.0517928286852589,0.7805583361138917,0.6775,0.4809809809809809,0.2557442557442557,0.9385790172642764,0.573612495845796,0.7554004652708541,0.352686019352686,0.5085945399393327,0.5303030303030303,0.607675418483081
ARG,0.7300633967300634,0.8438649281176864,0.5948012232415902,0.5950100806451613,0.2780665280665281,0.5244755244755245,0.4923547400611621,0.6352705410821643,0.7293997965412005,0.7446549241165393,0.0717846460618145,0.5581568190263843,0.450733752620545,0.3190578158458244,0.2069327731092437,0.9530469530469532,0.6612794612794612,0.6854649211144679,0.3755964553510565,0.5522388059701493,0.5390070921985817,0.549583865652481
ARM,0.6989514348785872,0.8852459016393442,0.5432811211871393,0.7097107438016529,0.3058333333333333,0.5321252059308073,0.6468483347096063,0.8219633943427621,0.7710909590546854,0.6229508196721312,0.8342999171499585,0.0414374770810414,0.252147766323024,0.1348061316501352,0.081081081081081,0.9736625514403292,0.6004983388704319,0.663643858202803,0.2866941015089164,0.2627045650301464,0.3467007963594994,0.5245560872974959
AUS,0.7845482156416097,0.6682027649769585,0.6311362382790955,0.3858967240421987,0.580911680911681,0.663887344821197,0.4156976744186046,0.4357224118316268,0.7390581717451523,0.7252828788721943,0.1042471042471042,0.7097466995136125,0.8907119021134594,0.6073825503355705,0.5401785714285714,0.919718830928598,0.6430563301728947,0.8021529324424648,0.4947916666666667,0.6088185415488977,0.6180281690140845,0.6175798763786782
BGD,0.6027474067844127,0.9258019525801952,0.8823777403035413,0.8172995780590717,0.0973971452560873,0.7161523491798721,0.5442752397067119,0.7252931323283082,0.7216666666666667,0.7337962962962963,0.7986230636833047,0.0763888888888888,0.2683720930232558,0.2088528678304239,0.1292743953294411,0.9947178204058938,0.7331109257714763,0.606239460370995,0.2923634336677815,0.3680496754163139,0.2740482417901773,0.5484213511113863
BOL,0.73715767298655,0.915981293339784,0.7613691931540343,0.6986835689907362,0.3167409608717186,0.5676024524040013,0.6743014944769331,0.8410206084396468,0.6962639495390588,0.7193067703271785,0.29,0.2557328605200946,0.3172258387581372,0.125,0.0859794821690278,0.7839625685705066,0.3824527387300048,0.4885755955274672,0.1669090321538212,0.3436426116838488,0.2271762208067941,0.4950040434975878
BRA,0.724124809741248,0.8534319302237391,0.5961759631972399,0.5434285714285714,0.4697947214076247,0.4178702098979395,0.6839976891969959,0.7511792452830188,0.72378223495702,0.729253769162549,0.0681044267877412,0.4385421277851556,0.6368294153104279,0.335455764075067,0.0664739884393064,0.818302891933029,0.48984329657574,0.5396551724137931,0.2664353190668981,0.490220557636288,0.3643309321108928,0.5241539541252517
CAN,0.821304131408661,0.6685747469719596,0.6212045793927328,0.3717023394723743,0.6208312593330014,0.647834743653559,0.3981251037000165,0.5248880039820807,0.6845860295337647,0.6712847740722305,0.097560975609756,0.7499032133178474,0.8303882528621205,0.727476356396217,0.4950223992035838,0.8601294176207068,0.647834743653559,0.7902770864443338,0.482910237265638,0.6312427409988386,0.6420275427244069,0.618338508457971
CHL,0.857429718875502,0.7753036437246963,0.6720647773279352,0.6078331637843337,0.704812834224599,0.4563894523326571,0.7253867791842475,0.6465067778936392,0.7046843177189409,0.6877452629218522,0.238,0.4796951292128141,0.3444444444444444,0.2426160337552743,0.1427104722792608,0.8792125458792126,0.5804828973843059,0.5491775763679088,0.3225914736488755,0.4213066072754269,0.4151482672382994,0.5454067702606773
CHN,0.6406783393899351,0.7587501380147952,0.7478569073524564,0.7229015201586253,0.3274834437086092,0.7221672711286955,0.5745905267817619,0.933575677461996,0.7164195496979682,0.7129629629629629,0.7183427998663549,0.1464462809917355,0.2965482907401261,0.1672757475083056,0.6543702226653374,0.948794185662372,0.6639127561136815,0.6717355371900826,0.3168983013456873,0.3278852568378919,0.3091980869758647,0.5751806572645355
COL,0.8026315789473684,0.8940789473684211,0.7090460526315789,0.5881578947368421,0.3101973684210526,0.6333333333333333,0.6771929824561405,0.6743421052631579,0.8179824561403509,0.7986111111111112,0.2809210526315789,0.340204678362573,0.4671052631578947,0.2460601719197708,0.0453947368421052,0.8486842105263158,0.4508771929824562,0.5144736842105263,0.2331140350877192,0.3625,0.3070175438596492,0.5239012571423785
