country,cv_1,cv_2,cv_3,cv_4,cv_5
AND,-0.5655881841944919,0.6311406500491256,-0.2663427819693975,0.408436645039395,0.39729756347745376
ARG,-0.558570425261244,0.5632400976375082,-0.29827535604213096,0.4692943730573754,0.5784567489276741
ARM,-0.45919160061983455,0.551037496172582,-0.3236285529049852,0.484751550133951,0.5455638570474606
AUS,-0.5582773164743925,0.6075986825629782,-0.17950023890071715,0.42759357540899556,0.42217369073371674
BGD,-0.3786553777513238,0.5329007232131729,-0.18444533243917724,0.33314814814814814,0.5245429620314508
BOL,-0.4946144747873014,0.4708802636652473,-0.2753094613261586,0.5130962956667773,0.6018488101300836
BRA,-0.5431690879179576,0.5415386983955426,-0.2833226425690754,0.37682954973060095,0.5382177166813589
CAN,-0.5658587283151746,0.5753919860627178,-0.19346060543645538,0.44589347934295664,0.4362279464631381
CHL,-0.5251292854990764,0.5207043684034698,-0.24459322046414542,0.4069188471697195,0.5626269953360999
CHN,-0.44691109611472274,0.6003476269619377,-0.16421128981881328,0.41304686216019143,0.4808908297347968
COL,-0.5117409844054581,0.5217361111111111,-0.23079334539745922,0.49706140350877187,0.6611202485380117
CYP,-0.4535343270130538,0.568892723478567,-0.24757522126834136,0.4037859699973782,0.517022116585171
CZE,-0.5312444135576265,0.598710928659708,-0.2592509167675875,0.4829205489136049,0.45174979274914
DEU,-0.5628111283519585,0.626636851522672,-0.21655386638206978,0.4399607198840342,0.3623288075506169
ECU,-0.48341876218873836,0.545393436617026,-0.2518942515310714,0.4595642395367131,0.6181320850298448
EGY,-0.37074795515381653,0.4646883280686079,-0.376667666364552,0.38154885691680596,0.8104871652769403
ETH,-0.45759050788453315,0.5453701896760347,-0.1631663427880605,0.36298212930212753,0.5536879190979451
GBR,-0.5803732160797053,0.5977434759054857,-0.19385809170562562,0.43293278001706137,0.4453589360814683
GRC,-0.5134623730402037,0.5274225201992541,-0.3206767356307444,0.4025024026822872,0.6095689213675838
GTM,-0.4197842155217212,0.5443562968990145,-0.25180146462570413,0.5148522307041794,0.6258087181913181
HKG,-0.5177446415045073,0.5495112594092572,-0.20827469360681897,0.4741339621050128,0.4293127730597409
IDN,-0.43721758766684365,0.5328749563497647,-0.12465061252155618,0.4849316137204244,0.5152833251342669
IND,-0.4026122567103425,0.5172590033401032,-0.08638065851771262,0.5229091596242492,0.5299633365253722
IRN,-0.4118281165735876,0.4805627434663665,-0.19701513653950353,0.4331202491505022,0.5127294357093566
IRQ,-0.37997187231293966,0.40342309013123634,-0.3185775342161928,0.580462962962963,0.636932295755058
JOR,-0.3509780408975842,0.5539268499429681,-0.3039574039776834,0.38606744447824315,0.5859015184079372
JPN,-0.5172725721547069,0.5537629901377484,-0.25719262591389924,0.3942837931855513,0.4486396421854962
KAZ,-0.4713968819816566,0.5447667976117813,-0.2119775024104755,0.4930480753232711,0.4597172921878273
KEN,-0.48147766163273686,0.4268470542545836,-0.08643513560181432,0.40414853098805426,0.5757039241835641
KGZ,-0.4198739110628559,0.6546315607253884,-0.2511765221222099,0.5164083858481632,0.6279557311190371
KOR,-0.46765878328127325,0.6117759928603304,-0.23448275862068962,0.5088978134761268,0.5062806782686301
LBN,-0.44345849852141145,0.5518055555555555,-0.36786640325461173,0.45761946766642614,0.6356106484802235
LBY,-0.417136264971799,0.5357430630544217,-0.25810594667382525,0.4952618412220584,0.5592870357452404
MAC,-0.4752203281051482,0.5782433745429295,-0.17534373223566113,0.4609302308526549,0.42166072899550305
MAR,-0.4224827599914912,0.5205393518518517,-0.2600046296296297,0.43661111111111117,0.5438541666666666
MDV,-0.4265982314433098,0.5884418209945902,-0.25955941005686983,0.3652620623298176,0.5360764012564726
MEX,-0.4939329328975008,0.5372005738280824,-0.2913272202611074,0.44896353100749015,0.6458698700859042
MMR,-0.32808487654320984,0.5662175925925926,-0.17222302043422733,0.43611111111111106,0.44771990740740736
MNG,-0.4770771212249899,0.45620592206275334,-0.20801763945931165,0.5263329263329263,0.5402930402930403
MYS,-0.4453160700685453,0.5269505796733519,-0.16134869892189194,0.47025471777947025,0.5356583735296606
NGA,-0.40871526340524683,0.4224978204885864,-0.1572160934660266,0.46735442280397244,0.5916590785547826
NIC,-0.48299121141299056,0.4812824074074074,-0.2433424272486771,0.5593333333333333,0.5340137341711891
NIR,-0.5657322712964975,0.6163110921843178,-0.19229592210660695,0.40321486323183287,0.468610522791155
NLD,-0.5880712603151254,0.6310932925128794,-0.2235051602884703,0.44585014368270803,0.40717572350989684
NZL,-0.5722585894930128,0.6208219461391753,-0.15222416068434408,0.41713837417132654,0.3612695471631135
PAK,-0.4259831950545211,0.5076115212247801,-0.1966992927442649,0.48929972377339614,0.6039161152225883
PER,-0.5129222144181872,0.4727162705873293,-0.32699870381438534,0.42747745069102006,0.6556335229700139
PHL,-0.4337390776083809,0.4954220704753961,-0.1429151761483361,0.4815903648008911,0.4498528169459528
PRI,-0.522728924456776,0.5722369449271058,-0.22817828865102402,0.4961927169335329,0.585596708803534
ROU,-0.5073576401762039,0.5690915971944375,-0.3116632324748889,0.4551343375544274,0.6045343001387279
RUS,-0.4892271070188065,0.5614721731310662,-0.2958977074644482,0.4834803750487991,0.5601574110133334
SGP,-0.5161085776964344,0.6078514896225384,-0.20231110085462878,0.4542934529469326,0.2900366046595774
SRB,-0.47545428236134396,0.5459145896095567,-0.32350010361756376,0.4715385701946788,0.6489244433299096
