country,Traditional vs Secular Values,Survival vs Self-expression Values,Neutrality,Fairness,Skepticism,Societal Tranquility
Andorra,above average,above average,average,above average,average,above average
Argentina,average,average,average,average,average,above average
Armenia,below average,average,average,above average,average,below average
Australia,above average,far above average,average,average,average,above average
Bangladesh,far below average,average,average,average,below average,average
Bolivia (Plurinational State of),below average,average,average,average,above average,average
Brazil,average,average,average,average,average,average
Canada,above average,far above average,average,average,average,above average
Chile,average,average,average,average,average,average
China,above average,average,above average,average,far below average,average
Colombia,below average,average,below average,average,above average,average
Cyprus,average,average,average,average,average,average
Czechia,above average,average,above average,below average,average,above average
Germany,above average,above average,average,above average,average,above average
Ecuador,average,average,average,average,average,average
Egypt,below average,average,above average,average,above average,average
Ethiopia,below average,below average,average,average,average,below average
United Kingdom,above average,far above average,average,average,average,above average
Greece,average,average,above average,above average,average,above average
Guatemala,average,average,below average,average,above average,average
"China, Hong Kong SAR",above average,average,average,average,average,above average
Indonesia,below average,below average,below average,average,below average,below average
India,average,average,below average,average,below average,average
Iran (Islamic Republic of),average,average,average,average,average,above average
Iraq,average,below average,average,below average,above average,average
Jordan,below average,average,average,average,average,average
Japan,far above average,average,above average,above average,average,average
Kazakhstan,average,average,average,average,below average,average
Kenya,average,average,far below average,far below average,average,average
Kyrgyzstan,average,average,average,average,average,below average
Republic of Korea,above average,average,average,average,average,average
Lebanon,average,average,above average,average,average,average
Libya,below average,average,below average,above average,average,below average
"China, Macao SAR",above average,average,average,average,below average,above average
Morocco,average,average,average,below average,average,average
Maldives,below average,average,above average,above average,average,average
Mexico,average,average,average,average,above average,below average
Myanmar,average,below average,average,average,below average,below average
Mongolia,above average,average,far below average,far below average,average,above average
Malaysia,average,average,below average,far below average,average,average
Nigeria,below average,below average,below average,average,average,below average
Nicaragua,below average,average,average,average,average,average
Northern Ireland,average,far above average,average,above average,average,above average
Netherlands,above average,far above average,average,average,average,above average
New Zealand,above average,far above average,average,average,average,above average
Pakistan,average,average,average,average,average,below average
Peru,average,below average,average,average,above average,average
Philippines,average,average,average,far below average,below average,below average
Puerto Rico,average,average,average,above average,above average,average
Romania,average,average,average,average,above average,average
Russia,average,average,above average,average,average,average
Singapore,average,average,average,average,below average,average
Serbia,above average,average,above average,far below average,average,average
Slovakia,average,average,average,average,average,average
Thailand,average,average,below average,average,average,average
Tajikistan,average,average,average,average,far below average,average
Tunisia,average,below average,average,average,above average,below average
Turkey,average,average,above average,average,below average,average
Taiwan,above average,average,average,average,average,average
Ukraine,average,average,average,average,average,average
Uruguay,average,average,average,average,average,average
United States of America,average,above average,below average,average,average,average
Uzbekistan,average,average,below average,average,below average,average
Venezuela (Bolivarian Republic of),average,average,average,average,above average,average
Vietnam,average,average,average,below average,far below average,average
Zimbabwe,average,below average,average,average,average,below average
