country,text,table,text_empty,description_text
Andorra,"```Here is a statistical description of the societal values of Andorra. According to the WVS, Andorra was found to have above average Traditional vs Secular Values score (i.e. more secular compared to the average) compared to other countries in the same wave. In response to the question 'Here is a list of qualities that children can be encouraged to learn at home. Which, if any, do you consider to be especially important?', on average participants  'did not mention' children's religious faith as especially important.  According to the WVS, Andorra was found to have above average Survival vs Self-expression Values score (i.e. value self-expression more compared to the average) compared to other countries in the same wave. In response to the question 'On this list are various groups of people. Could you please mention any that you would not like to have as neighbors?', on average participants  'did not mention' homosexuals as neighbors they would not like to have.  According to the WVS, Andorra was found to be averagely neutral compared to other countries in the same wave.  According to the WVS, Andorra was found to have an above average value of fairness compared to other countries in the same wave. In response to the question 'Please tell me for each of the following actions whether you think it can always be justified, never be justified, or something in between: Someone accepting a bribe in the course of their duties', on average participants indicated that it is 'almost never justifiable' .  According to the WVS, Andorra was found to be neither above nor below averagely skeptical compared to other countries in the same wave.  According to the WVS, Andorra was found to be above averagely tranquil compared to other countries in the same wave. In response to the question 'To what degree are you worried about the following situations? A civil war', on average participants indicated that they worry 'not at all' . ```","```Here is a statistical description of the societal values of Andorra.
| Factor | Z-score | Relevant question |
|:------|------:|:--------------------|
| Traditional vs Secular Values | 1.267 | Question: 'Here is a list of qualities that children can be encouraged to learn at home. Which, if any, do you consider to be especially important?' Average answer:  'did not mention' children's religious faith as especially important. |
| Survival vs Self-expression Values | 1.542 | Question: 'On this list are various groups of people. Could you please mention any that you would not like to have as neighbors?' Average answer:  'did not mention' homosexuals as neighbors they would not like to have. |
| Neutrality | 0.779 |  |
| Fairness | 1.005 | Question: 'Please tell me for each of the following actions whether you think it can always be justified, never be justified, or something in between: Someone accepting a bribe in the course of their duties' Average answer:indicated that it is 'almost never justifiable' . |
| Skepticism | -0.162 |  |
| Societal Tranquility | 1.183 | Question: 'To what degree are you worried about the following situations? A civil war' Average answer: indicated that they worry 'not at all' . |```",```Here is a statistical description of the societal values of Andorra.```,"```Here is a statistical description of the societal values of Andorra. According to the WVS, Andorra was found to have above average Traditional vs Secular Values score (i.e. more secular compared to the average) compared to other countries in the same wave. In response to the question 'Here is a list of qualities that children can be encouraged to learn at home. Which, if any, do you consider to be especially important?', on average participants  'did not mention' children's religious faith as especially important.  According to the WVS, Andorra was found to have above average Survival vs Self-expression Values score (i.e. value self-expression more compared to the average) compared to other countries in the same wave. In response to the question 'On this list are various groups of people. Could you please mention any that you would not like to have as neighbors?', on average participants  'did not mention' homosexuals as neighbors they would not like to have.  According to the WVS, Andorra was found to be averagely neutral compared to other countries in the same wave.  According to the WVS, Andorra was found to have an above average value of fairness compared to other countries in the same wave. In response to the question 'Please tell me for each of the following actions whether you think it can always be justified, never be justified, or something in between: Someone accepting a bribe in the course of their duties', on average participants indicated that it is 'almost never justifiable' .  According to the WVS, Andorra was found to be neither above nor below averagely skeptical compared to other countries in the same wave.  According to the WVS, Andorra was found to be above averagely tranquil compared to other countries in the same wave. In response to the question 'To what degree are you worried about the following situations? A civil war', on average participants indicated that they worry 'not at all' . 
| Factor | Z-score | Relevant question |
|:------|------:|:--------------------|
| Traditional vs Secular Values | 1.267 | Question: 'Here is a list of qualities that children can be encouraged to learn at home. Which, if any, do you consider to be especially important?' Average answer:  'did not mention' children's religious faith as especially important. |
| Survival vs Self-expression Values | 1.542 | Question: 'On this list are various groups of people. Could you please mention any that you would not like to have as neighbors?' Average answer:  'did not mention' homosexuals as neighbors they would not like to have. |
| Neutrality | 0.779 |  |
| Fairness | 1.005 | Question: 'Please tell me for each of the following actions whether you think it can always be justified, never be justified, or something in between: Someone accepting a bribe in the course of their duties' Average answer:indicated that it is 'almost never justifiable' . |
| Skepticism | -0.162 |  |
| Societal Tranquility | 1.183 | Question: 'To what degree are you worried about the following situations? A civil war' Average answer: indicated that they worry 'not at all' . |```"
Argentina,"```Here is a statistical description of the societal values of Argentina. According to the WVS, Argentina was found to have neither an above nor a below average Traditional vs Secular Values score compared to other countries in the same wave.  According to the WVS, Argentina was found to have neither an above nor a below average Survival vs Self-expression Values score compared to other countries in the same wave.  According to the WVS, Argentina was found to be averagely neutral compared to other countries in the same wave.  According to the WVS, Argentina was found to have an average value of fairness compared to other countries in the same wave.  According to the WVS, Argentina was found to be neither above nor below averagely skeptical compared to other countries in the same wave.  According to the WVS, Argentina was found to be above averagely tranquil compared to other countries in the same wave. In response to the question 'To what degree are you worried about the following situations? A civil war', on average participants indicated that they worry 'not much' . ```","```Here is a statistical description of the societal values of Argentina.
| Factor | Z-score | Relevant question |
|:------|------:|:--------------------|
| Traditional vs Secular Values | 0.054 |  |
| Survival vs Self-expression Values | 0.926 |  |
| Neutrality | 0.933 |  |
| Fairness | 0.316 |  |
| Skepticism | 0.856 |  |
| Societal Tranquility | 1.219 | Question: 'To what degree are you worried about the following situations? A civil war' Average answer: indicated that they worry 'not much' . |```",```Here is a statistical description of the societal values of Argentina.```,"```Here is a statistical description of the societal values of Argentina. According to the WVS, Argentina was found to have neither an above nor a below average Traditional vs Secular Values score compared to other countries in the same wave.  According to the WVS, Argentina was found to have neither an above nor a below average Survival vs Self-expression Values score compared to other countries in the same wave.  According to the WVS, Argentina was found to be averagely neutral compared to other countries in the same wave.  According to the WVS, Argentina was found to have an average value of fairness compared to other countries in the same wave.  According to the WVS, Argentina was found to be neither above nor below averagely skeptical compared to other countries in the same wave.  According to the WVS, Argentina was found to be above averagely tranquil compared to other countries in the same wave. In response to the question 'To what degree are you worried about the following situations? A civil war', on average participants indicated that they worry 'not much' . 
| Factor | Z-score | Relevant question |
|:------|------:|:--------------------|
| Traditional vs Secular Values | 0.054 |  |
| Survival vs Self-expression Values | 0.926 |  |
| Neutrality | 0.933 |  |
| Fairness | 0.316 |  |
| Skepticism | 0.856 |  |
| Societal Tranquility | 1.219 | Question: 'To what degree are you worried about the following situations? A civil war' Average answer: indicated that they worry 'not much' . |```"
Armenia,"```Here is a statistical description of the societal values of Armenia. According to the WVS, Armenia was found to have below average Traditional vs Secular Values score (i.e. more traditional compared to the average) compared to other countries in the same wave. In response to the question 'How important is God in your life?', on average participants indicated God to be 'very important' in their life.  According to the WVS, Armenia was found to have neither an above nor a below average Survival vs Self-expression Values score compared to other countries in the same wave.  According to the WVS, Armenia was found to be averagely neutral compared to other countries in the same wave.  According to the WVS, Armenia was found to have an above average value of fairness compared to other countries in the same wave. In response to the question 'Please tell me for each of the following actions whether you think it can always be justified, never be justified, or something in between: Stealing property', on average participants indicated that it is 'almost never justifiable' .  According to the WVS, Armenia was found to be neither above nor below averagely skeptical compared to other countries in the same wave.  According to the WVS, Armenia was found to be below averagely tranquil compared to other countries in the same wave. In response to the question 'To what degree are you worried about the following situations? A war involving my country', on average participants indicated that they worry 'very much' . ```","```Here is a statistical description of the societal values of Armenia.
| Factor | Z-score | Relevant question |
|:------|------:|:--------------------|
| Traditional vs Secular Values | -1.149 | Question: 'How important is God in your life?' Average answer: indicated God to be 'very important' in their life. |
| Survival vs Self-expression Values | -0.932 |  |
| Neutrality | 0.746 |  |
| Fairness | 1.162 | Question: 'Please tell me for each of the following actions whether you think it can always be justified, never be justified, or something in between: Stealing property' Average answer:indicated that it is 'almost never justifiable' . |
| Skepticism | 0.827 |  |
| Societal Tranquility | -1.235 | Question: 'To what degree are you worried about the following situations? A war involving my country' Average answer: indicated that they worry 'very much' . |```",```Here is a statistical description of the societal values of Armenia.```,"```Here is a statistical description of the societal values of Armenia. According to the WVS, Armenia was found to have below average Traditional vs Secular Values score (i.e. more traditional compared to the average) compared to other countries in the same wave. In response to the question 'How important is God in your life?', on average participants indicated God to be 'very important' in their life.  According to the WVS, Armenia was found to have neither an above nor a below average Survival vs Self-expression Values score compared to other countries in the same wave.  According to the WVS, Armenia was found to be averagely neutral compared to other countries in the same wave.  According to the WVS, Armenia was found to have an above average value of fairness compared to other countries in the same wave. In response to the question 'Please tell me for each of the following actions whether you think it can always be justified, never be justified, or something in between: Stealing property', on average participants indicated that it is 'almost never justifiable' .  According to the WVS, Armenia was found to be neither above nor below averagely skeptical compared to other countries in the same wave.  According to the WVS, Armenia was found to be below averagely tranquil compared to other countries in the same wave. In response to the question 'To what degree are you worried about the following situations? A war involving my country', on average participants indicated that they worry 'very much' . 
| Factor | Z-score | Relevant question |
|:------|------:|:--------------------|
| Traditional vs Secular Values | -1.149 | Question: 'How important is God in your life?' Average answer: indicated God to be 'very important' in their life. |
| Survival vs Self-expression Values | -0.932 |  |
| Neutrality | 0.746 |  |
| Fairness | 1.162 | Question: 'Please tell me for each of the following actions whether you think it can always be justified, never be justified, or something in between: Stealing property' Average answer:indicated that it is 'almost never justifiable' . |
| Skepticism | 0.827 |  |
| Societal Tranquility | -1.235 | Question: 'To what degree are you worried about the following situations? A war involving my country' Average answer: indicated that they worry 'very much' . |```"
Australia,"```Here is a statistical description of the societal values of Australia. According to the WVS, Australia was found to have above average Traditional vs Secular Values score (i.e. more secular compared to the average) compared to other countries in the same wave. In response to the question 'Here is a list of qualities that children can be encouraged to learn at home. Which, if any, do you consider to be especially important?', on average participants  'did not mention' children's religious faith as especially important.  According to the WVS, Australia was found to have far above average Survival vs Self-expression values score (i.e. value self-expression far more compared to the average) compared to other countries in the same wave. In response to the question 'On this list are various groups of people. Could you please mention any that you would not like to have as neighbors?', on average participants  'did not mention' homosexuals as neighbors they would not like to have.  According to the WVS, Australia was found to be averagely neutral compared to other countries in the same wave.  According to the WVS, Australia was found to have an average value of fairness compared to other countries in the same wave.  According to the WVS, Australia was found to be neither above nor below averagely skeptical compared to other countries in the same wave.  According to the WVS, Australia was found to be above averagely tranquil compared to other countries in the same wave. In response to the question 'To what degree are you worried about the following situations? A civil war', on average participants indicated that they worry 'not at all' . ```","```Here is a statistical description of the societal values of Australia.
| Factor | Z-score | Relevant question |
|:------|------:|:--------------------|
| Traditional vs Secular Values | 1.166 | Question: 'Here is a list of qualities that children can be encouraged to learn at home. Which, if any, do you consider to be especially important?' Average answer:  'did not mention' children's religious faith as especially important. |
| Survival vs Self-expression Values | 2.126 | Question: 'On this list are various groups of people. Could you please mention any that you would not like to have as neighbors?' Average answer:  'did not mention' homosexuals as neighbors they would not like to have. |
| Neutrality | -0.858 |  |
| Fairness | 0.825 |  |
| Skepticism | 0.011 |  |
| Societal Tranquility | 1.278 | Question: 'To what degree are you worried about the following situations? A civil war' Average answer: indicated that they worry 'not at all' . |```",```Here is a statistical description of the societal values of Australia.```,"```Here is a statistical description of the societal values of Australia. According to the WVS, Australia was found to have above average Traditional vs Secular Values score (i.e. more secular compared to the average) compared to other countries in the same wave. In response to the question 'Here is a list of qualities that children can be encouraged to learn at home. Which, if any, do you consider to be especially important?', on average participants  'did not mention' children's religious faith as especially important.  According to the WVS, Australia was found to have far above average Survival vs Self-expression values score (i.e. value self-expression far more compared to the average) compared to other countries in the same wave. In response to the question 'On this list are various groups of people. Could you please mention any that you would not like to have as neighbors?', on average participants  'did not mention' homosexuals as neighbors they would not like to have.  According to the WVS, Australia was found to be averagely neutral compared to other countries in the same wave.  According to the WVS, Australia was found to have an average value of fairness compared to other countries in the same wave.  According to the WVS, Australia was found to be neither above nor below averagely skeptical compared to other countries in the same wave.  According to the WVS, Australia was found to be above averagely tranquil compared to other countries in the same wave. In response to the question 'To what degree are you worried about the following situations? A civil war', on average participants indicated that they worry 'not at all' . 
| Factor | Z-score | Relevant question |
|:------|------:|:--------------------|
| Traditional vs Secular Values | 1.166 | Question: 'Here is a list of qualities that children can be encouraged to learn at home. Which, if any, do you consider to be especially important?' Average answer:  'did not mention' children's religious faith as especially important. |
| Survival vs Self-expression Values | 2.126 | Question: 'On this list are various groups of people. Could you please mention any that you would not like to have as neighbors?' Average answer:  'did not mention' homosexuals as neighbors they would not like to have. |
| Neutrality | -0.858 |  |
| Fairness | 0.825 |  |
| Skepticism | 0.011 |  |
| Societal Tranquility | 1.278 | Question: 'To what degree are you worried about the following situations? A civil war' Average answer: indicated that they worry 'not at all' . |```"
Bangladesh,"```Here is a statistical description of the societal values of Bangladesh. According to the WVS, Bangladesh was found to have far below average Traditional vs Secular Values score (i.e. far more traditional compared to the average) compared to other countries in the same wave. In response to the question 'How important is God in your life?', on average participants indicated God to be 'very important' in their life.  According to the WVS, Bangladesh was found to have neither an above nor a below average Survival vs Self-expression Values score compared to other countries in the same wave.  According to the WVS, Bangladesh was found to be averagely neutral compared to other countries in the same wave.  According to the WVS, Bangladesh was found to have an average value of fairness compared to other countries in the same wave.  According to the WVS, Bangladesh was found to be below averagely skeptical compared to other countries in the same wave. In response to the question 'How much confidence do you have in the government?', on average participants indicated that they have 'a great deal' .  According to the WVS, Bangladesh was found to be neither above nor below averagely tranquil compared to other countries in the same wave. ```","```Here is a statistical description of the societal values of Bangladesh.
| Factor | Z-score | Relevant question |
|:------|------:|:--------------------|
| Traditional vs Secular Values | -2.025 | Question: 'How important is God in your life?' Average answer: indicated God to be 'very important' in their life. |
| Survival vs Self-expression Values | -0.690 |  |
| Neutrality | 0.626 |  |
| Fairness | 0.484 |  |
| Skepticism | -1.424 | Question: 'How much confidence do you have in the government?' Average answer: indicated that they have 'a great deal' . |
| Societal Tranquility | 0.017 |  |```",```Here is a statistical description of the societal values of Bangladesh.```,"```Here is a statistical description of the societal values of Bangladesh. According to the WVS, Bangladesh was found to have far below average Traditional vs Secular Values score (i.e. far more traditional compared to the average) compared to other countries in the same wave. In response to the question 'How important is God in your life?', on average participants indicated God to be 'very important' in their life.  According to the WVS, Bangladesh was found to have neither an above nor a below average Survival vs Self-expression Values score compared to other countries in the same wave.  According to the WVS, Bangladesh was found to be averagely neutral compared to other countries in the same wave.  According to the WVS, Bangladesh was found to have an average value of fairness compared to other countries in the same wave.  According to the WVS, Bangladesh was found to be below averagely skeptical compared to other countries in the same wave. In response to the question 'How much confidence do you have in the government?', on average participants indicated that they have 'a great deal' .  According to the WVS, Bangladesh was found to be neither above nor below averagely tranquil compared to other countries in the same wave. 
| Factor | Z-score | Relevant question |
|:------|------:|:--------------------|
| Traditional vs Secular Values | -2.025 | Question: 'How important is God in your life?' Average answer: indicated God to be 'very important' in their life. |
| Survival vs Self-expression Values | -0.690 |  |
| Neutrality | 0.626 |  |
| Fairness | 0.484 |  |
| Skepticism | -1.424 | Question: 'How much confidence do you have in the government?' Average answer: indicated that they have 'a great deal' . |
| Societal Tranquility | 0.017 |  |```"
Bolivia (Plurinational State of),"```Here is a statistical description of the societal values of Bolivia (plurinational state of). According to the WVS, Bolivia (plurinational state of) was found to have below average Traditional vs Secular Values score (i.e. more traditional compared to the average) compared to other countries in the same wave. In response to the question 'How important is God in your life?', on average participants indicated God to be 'very important' in their life.  According to the WVS, Bolivia (plurinational state of) was found to have neither an above nor a below average Survival vs Self-expression Values score compared to other countries in the same wave.  According to the WVS, Bolivia (plurinational state of) was found to be averagely neutral compared to other countries in the same wave.  According to the WVS, Bolivia (plurinational state of) was found to have an average value of fairness compared to other countries in the same wave.  According to the WVS, Bolivia (plurinational state of) was found to be above averagely skeptical compared to other countries in the same wave. In response to the question 'How much confidence do you have in the parliament?', on average participants indicated that they have 'none at all' .  According to the WVS, Bolivia (plurinational state of) was found to be neither above nor below averagely tranquil compared to other countries in the same wave. ```","```Here is a statistical description of the societal values of Bolivia (plurinational state of).
| Factor | Z-score | Relevant question |
|:------|------:|:--------------------|
| Traditional vs Secular Values | -1.043 | Question: 'How important is God in your life?' Average answer: indicated God to be 'very important' in their life. |
| Survival vs Self-expression Values | -0.900 |  |
| Neutrality | -0.146 |  |
| Fairness | 0.174 |  |
| Skepticism | 1.085 | Question: 'How much confidence do you have in the parliament?' Average answer: indicated that they have 'none at all' . |
| Societal Tranquility | -0.335 |  |```",```Here is a statistical description of the societal values of Bolivia (plurinational state of).```,"```Here is a statistical description of the societal values of Bolivia (plurinational state of). According to the WVS, Bolivia (plurinational state of) was found to have below average Traditional vs Secular Values score (i.e. more traditional compared to the average) compared to other countries in the same wave. In response to the question 'How important is God in your life?', on average participants indicated God to be 'very important' in their life.  According to the WVS, Bolivia (plurinational state of) was found to have neither an above nor a below average Survival vs Self-expression Values score compared to other countries in the same wave.  According to the WVS, Bolivia (plurinational state of) was found to be averagely neutral compared to other countries in the same wave.  According to the WVS, Bolivia (plurinational state of) was found to have an average value of fairness compared to other countries in the same wave.  According to the WVS, Bolivia (plurinational state of) was found to be above averagely skeptical compared to other countries in the same wave. In response to the question 'How much confidence do you have in the parliament?', on average participants indicated that they have 'none at all' .  According to the WVS, Bolivia (plurinational state of) was found to be neither above nor below averagely tranquil compared to other countries in the same wave. 
| Factor | Z-score | Relevant question |
|:------|------:|:--------------------|
| Traditional vs Secular Values | -1.043 | Question: 'How important is God in your life?' Average answer: indicated God to be 'very important' in their life. |
| Survival vs Self-expression Values | -0.900 |  |
| Neutrality | -0.146 |  |
| Fairness | 0.174 |  |
| Skepticism | 1.085 | Question: 'How much confidence do you have in the parliament?' Average answer: indicated that they have 'none at all' . |
| Societal Tranquility | -0.335 |  |```"
Brazil,"```Here is a statistical description of the societal values of Brazil. According to the WVS, Brazil was found to have neither an above nor a below average Traditional vs Secular Values score compared to other countries in the same wave.  According to the WVS, Brazil was found to have neither an above nor a below average Survival vs Self-expression Values score compared to other countries in the same wave.  According to the WVS, Brazil was found to be averagely neutral compared to other countries in the same wave.  According to the WVS, Brazil was found to have an average value of fairness compared to other countries in the same wave.  According to the WVS, Brazil was found to be neither above nor below averagely skeptical compared to other countries in the same wave.  According to the WVS, Brazil was found to be neither above nor below averagely tranquil compared to other countries in the same wave. ```","```Here is a statistical description of the societal values of Brazil.
| Factor | Z-score | Relevant question |
|:------|------:|:--------------------|
| Traditional vs Secular Values | -0.408 |  |
| Survival vs Self-expression Values | 0.101 |  |
| Neutrality | 0.790 |  |
| Fairness | 0.219 |  |
| Skepticism | 0.910 |  |
| Societal Tranquility | 0.107 |  |```",```Here is a statistical description of the societal values of Brazil.```,"```Here is a statistical description of the societal values of Brazil. According to the WVS, Brazil was found to have neither an above nor a below average Traditional vs Secular Values score compared to other countries in the same wave.  According to the WVS, Brazil was found to have neither an above nor a below average Survival vs Self-expression Values score compared to other countries in the same wave.  According to the WVS, Brazil was found to be averagely neutral compared to other countries in the same wave.  According to the WVS, Brazil was found to have an average value of fairness compared to other countries in the same wave.  According to the WVS, Brazil was found to be neither above nor below averagely skeptical compared to other countries in the same wave.  According to the WVS, Brazil was found to be neither above nor below averagely tranquil compared to other countries in the same wave. 
| Factor | Z-score | Relevant question |
|:------|------:|:--------------------|
| Traditional vs Secular Values | -0.408 |  |
| Survival vs Self-expression Values | 0.101 |  |
| Neutrality | 0.790 |  |
| Fairness | 0.219 |  |
| Skepticism | 0.910 |  |
| Societal Tranquility | 0.107 |  |```"
Canada,"```Here is a statistical description of the societal values of Canada. According to the WVS, Canada was found to have above average Traditional vs Secular Values score (i.e. more secular compared to the average) compared to other countries in the same wave. In response to the question 'Here is a list of qualities that children can be encouraged to learn at home. Which, if any, do you consider to be especially important?', on average participants  'did not mention' children's religious faith as especially important.  According to the WVS, Canada was found to have far above average Survival vs Self-expression values score (i.e. value self-expression far more compared to the average) compared to other countries in the same wave. In response to the question 'On this list are various groups of people. Could you please mention any that you would not like to have as neighbors?', on average participants  'did not mention' homosexuals as neighbors they would not like to have.  According to the WVS, Canada was found to be averagely neutral compared to other countries in the same wave.  According to the WVS, Canada was found to have an average value of fairness compared to other countries in the same wave.  According to the WVS, Canada was found to be neither above nor below averagely skeptical compared to other countries in the same wave.  According to the WVS, Canada was found to be above averagely tranquil compared to other countries in the same wave. In response to the question 'To what degree are you worried about the following situations? A civil war', on average participants indicated that they worry 'not at all' . ```","```Here is a statistical description of the societal values of Canada.
| Factor | Z-score | Relevant question |
|:------|------:|:--------------------|
| Traditional vs Secular Values | 1.344 | Question: 'Here is a list of qualities that children can be encouraged to learn at home. Which, if any, do you consider to be especially important?' Average answer:  'did not mention' children's religious faith as especially important. |
| Survival vs Self-expression Values | 2.037 | Question: 'On this list are various groups of people. Could you please mention any that you would not like to have as neighbors?' Average answer:  'did not mention' homosexuals as neighbors they would not like to have. |
| Neutrality | -0.618 |  |
| Fairness | -0.457 |  |
| Skepticism | -0.351 |  |
| Societal Tranquility | 1.761 | Question: 'To what degree are you worried about the following situations? A civil war' Average answer: indicated that they worry 'not at all' . |```",```Here is a statistical description of the societal values of Canada.```,"```Here is a statistical description of the societal values of Canada. According to the WVS, Canada was found to have above average Traditional vs Secular Values score (i.e. more secular compared to the average) compared to other countries in the same wave. In response to the question 'Here is a list of qualities that children can be encouraged to learn at home. Which, if any, do you consider to be especially important?', on average participants  'did not mention' children's religious faith as especially important.  According to the WVS, Canada was found to have far above average Survival vs Self-expression values score (i.e. value self-expression far more compared to the average) compared to other countries in the same wave. In response to the question 'On this list are various groups of people. Could you please mention any that you would not like to have as neighbors?', on average participants  'did not mention' homosexuals as neighbors they would not like to have.  According to the WVS, Canada was found to be averagely neutral compared to other countries in the same wave.  According to the WVS, Canada was found to have an average value of fairness compared to other countries in the same wave.  According to the WVS, Canada was found to be neither above nor below averagely skeptical compared to other countries in the same wave.  According to the WVS, Canada was found to be above averagely tranquil compared to other countries in the same wave. In response to the question 'To what degree are you worried about the following situations? A civil war', on average participants indicated that they worry 'not at all' . 
| Factor | Z-score | Relevant question |
|:------|------:|:--------------------|
| Traditional vs Secular Values | 1.344 | Question: 'Here is a list of qualities that children can be encouraged to learn at home. Which, if any, do you consider to be especially important?' Average answer:  'did not mention' children's religious faith as especially important. |
| Survival vs Self-expression Values | 2.037 | Question: 'On this list are various groups of people. Could you please mention any that you would not like to have as neighbors?' Average answer:  'did not mention' homosexuals as neighbors they would not like to have. |
| Neutrality | -0.618 |  |
| Fairness | -0.457 |  |
| Skepticism | -0.351 |  |
| Societal Tranquility | 1.761 | Question: 'To what degree are you worried about the following situations? A civil war' Average answer: indicated that they worry 'not at all' . |```"
Chile,"```Here is a statistical description of the societal values of Chile. According to the WVS, Chile was found to have neither an above nor a below average Traditional vs Secular Values score compared to other countries in the same wave.  According to the WVS, Chile was found to have neither an above nor a below average Survival vs Self-expression Values score compared to other countries in the same wave.  According to the WVS, Chile was found to be averagely neutral compared to other countries in the same wave.  According to the WVS, Chile was found to have an average value of fairness compared to other countries in the same wave.  According to the WVS, Chile was found to be neither above nor below averagely skeptical compared to other countries in the same wave.  According to the WVS, Chile was found to be neither above nor below averagely tranquil compared to other countries in the same wave. ```","```Here is a statistical description of the societal values of Chile.
| Factor | Z-score | Relevant question |
|:------|------:|:--------------------|
| Traditional vs Secular Values | 0.539 |  |
| Survival vs Self-expression Values | -0.166 |  |
| Neutrality | 0.356 |  |
| Fairness | -0.283 |  |
| Skepticism | 0.605 |  |
| Societal Tranquility | -0.126 |  |```",```Here is a statistical description of the societal values of Chile.```,"```Here is a statistical description of the societal values of Chile. According to the WVS, Chile was found to have neither an above nor a below average Traditional vs Secular Values score compared to other countries in the same wave.  According to the WVS, Chile was found to have neither an above nor a below average Survival vs Self-expression Values score compared to other countries in the same wave.  According to the WVS, Chile was found to be averagely neutral compared to other countries in the same wave.  According to the WVS, Chile was found to have an average value of fairness compared to other countries in the same wave.  According to the WVS, Chile was found to be neither above nor below averagely skeptical compared to other countries in the same wave.  According to the WVS, Chile was found to be neither above nor below averagely tranquil compared to other countries in the same wave. 
| Factor | Z-score | Relevant question |
|:------|------:|:--------------------|
| Traditional vs Secular Values | 0.539 |  |
| Survival vs Self-expression Values | -0.166 |  |
| Neutrality | 0.356 |  |
| Fairness | -0.283 |  |
| Skepticism | 0.605 |  |
| Societal Tranquility | -0.126 |  |```"
China,"```Here is a statistical description of the societal values of China. According to the WVS, China was found to have above average Traditional vs Secular Values score (i.e. more secular compared to the average) compared to other countries in the same wave. In response to the question 'Here is a list of qualities that children can be encouraged to learn at home. Which, if any, do you consider to be especially important?', on average participants  'did not mention' children's religious faith as especially important.  According to the WVS, China was found to have neither an above nor a below average Survival vs Self-expression Values score compared to other countries in the same wave.  According to the WVS, China was found to be above averagely neutral compared to other countries in the same wave. In response to the question 'Are you a member of a charitable or humanitarian organization?', on average participants indicated that they 'are an inactive member' .  According to the WVS, China was found to have an average value of fairness compared to other countries in the same wave.  According to the WVS, China was found to be far below averagely skeptical compared to other countries in the same wave. In response to the question 'How much confidence do you have in the government?', on average participants indicated that they have 'a great deal' .  According to the WVS, China was found to be neither above nor below averagely tranquil compared to other countries in the same wave. ```","```Here is a statistical description of the societal values of China.
| Factor | Z-score | Relevant question |
|:------|------:|:--------------------|
| Traditional vs Secular Values | 1.034 | Question: 'Here is a list of qualities that children can be encouraged to learn at home. Which, if any, do you consider to be especially important?' Average answer:  'did not mention' children's religious faith as especially important. |
| Survival vs Self-expression Values | -0.386 |  |
| Neutrality | 1.082 | Question: 'Are you a member of a charitable or humanitarian organization?' Average answer:indicated that they 'are an inactive member' . |
| Fairness | 0.827 |  |
| Skepticism | -2.298 | Question: 'How much confidence do you have in the government?' Average answer: indicated that they have 'a great deal' . |
| Societal Tranquility | 0.119 |  |```",```Here is a statistical description of the societal values of China.```,"```Here is a statistical description of the societal values of China. According to the WVS, China was found to have above average Traditional vs Secular Values score (i.e. more secular compared to the average) compared to other countries in the same wave. In response to the question 'Here is a list of qualities that children can be encouraged to learn at home. Which, if any, do you consider to be especially important?', on average participants  'did not mention' children's religious faith as especially important.  According to the WVS, China was found to have neither an above nor a below average Survival vs Self-expression Values score compared to other countries in the same wave.  According to the WVS, China was found to be above averagely neutral compared to other countries in the same wave. In response to the question 'Are you a member of a charitable or humanitarian organization?', on average participants indicated that they 'are an inactive member' .  According to the WVS, China was found to have an average value of fairness compared to other countries in the same wave.  According to the WVS, China was found to be far below averagely skeptical compared to other countries in the same wave. In response to the question 'How much confidence do you have in the government?', on average participants indicated that they have 'a great deal' .  According to the WVS, China was found to be neither above nor below averagely tranquil compared to other countries in the same wave. 
| Factor | Z-score | Relevant question |
|:------|------:|:--------------------|
| Traditional vs Secular Values | 1.034 | Question: 'Here is a list of qualities that children can be encouraged to learn at home. Which, if any, do you consider to be especially important?' Average answer:  'did not mention' children's religious faith as especially important. |
| Survival vs Self-expression Values | -0.386 |  |
| Neutrality | 1.082 | Question: 'Are you a member of a charitable or humanitarian organization?' Average answer:indicated that they 'are an inactive member' . |
| Fairness | 0.827 |  |
| Skepticism | -2.298 | Question: 'How much confidence do you have in the government?' Average answer: indicated that they have 'a great deal' . |
| Societal Tranquility | 0.119 |  |```"
