person,text,text_empty,table,description_text
C_0,```The candidate is very outgoing and energetic. The candidate tends to be more social. In particular they said that they start conversations. The candidate is quite sensitive and nervous. The candidate tends to feel more negative emotions and anxiety. The candidate is quite friendly and compassionate. The candidate tends to be more cooperative polite kind and friendly. The candidate is very efficient and organized. The candidate tends to be more careful or diligent. In particular they said that they pay attention to details. The candidate is relatively consistent and cautious. The candidate tends to be less open to new ideas and experiences. ```,```The candidate is...```,"```Here is a statistical description of the candidate.
| Factor | Z-score | Relevant question |
|:------|------:|:--------------------|
| extraversion | 1.027 | In particular they said that they start conversations. |
| neuroticism | 0.656 |   |
| agreeableness | 0.802 |   |
| conscientiousness | 1.001 | In particular they said that they pay attention to details. |
| openness | -0.088 |   |```","```The candidate is very outgoing and energetic. The candidate tends to be more social. In particular they said that they start conversations. The candidate is quite sensitive and nervous. The candidate tends to feel more negative emotions and anxiety. The candidate is quite friendly and compassionate. The candidate tends to be more cooperative polite kind and friendly. The candidate is very efficient and organized. The candidate tends to be more careful or diligent. In particular they said that they pay attention to details. The candidate is relatively consistent and cautious. The candidate tends to be less open to new ideas and experiences. 
| Factor | Z-score | Relevant question |
|:------|------:|:--------------------|
| extraversion | 1.027 | In particular they said that they start conversations. |
| neuroticism | 0.656 |   |
| agreeableness | 0.802 |   |
| conscientiousness | 1.001 | In particular they said that they pay attention to details. |
| openness | -0.088 |   |```"
C_1,```The candidate is extremely solitary and reserved. The candidate tends to be less social. In particular they said that they dont talk a lot. The candidate is very resilient and confident. The candidate tends to feel less negative emotions and anxiety. In particular they said that they get stressed out easily. The candidate is relatively friendly and compassionate. The candidate tends to be more cooperative polite kind and friendly. The candidate is very extravagant and careless. The candidate tends to be less careful or diligent. In particular they said that they make a mess of things. The candidate is relatively consistent and cautious. The candidate tends to be less open to new ideas and experiences. ```,```The candidate is...```,"```Here is a statistical description of the candidate.
| Factor | Z-score | Relevant question |
|:------|------:|:--------------------|
| extraversion | -2.115 | In particular they said that they dont talk a lot. |
| neuroticism | -1.766 | In particular they said that they get stressed out easily. |
| agreeableness | 0.001 |   |
| conscientiousness | -1.110 | In particular they said that they make a mess of things. |
| openness | -0.256 |   |```","```The candidate is extremely solitary and reserved. The candidate tends to be less social. In particular they said that they dont talk a lot. The candidate is very resilient and confident. The candidate tends to feel less negative emotions and anxiety. In particular they said that they get stressed out easily. The candidate is relatively friendly and compassionate. The candidate tends to be more cooperative polite kind and friendly. The candidate is very extravagant and careless. The candidate tends to be less careful or diligent. In particular they said that they make a mess of things. The candidate is relatively consistent and cautious. The candidate tends to be less open to new ideas and experiences. 
| Factor | Z-score | Relevant question |
|:------|------:|:--------------------|
| extraversion | -2.115 | In particular they said that they dont talk a lot. |
| neuroticism | -1.766 | In particular they said that they get stressed out easily. |
| agreeableness | 0.001 |   |
| conscientiousness | -1.110 | In particular they said that they make a mess of things. |
| openness | -0.256 |   |```"
C_2,```The candidate is very outgoing and energetic. The candidate tends to be more social. In particular they said that they feel comfortable around people. The candidate is quite resilient and confident. The candidate tends to feel less negative emotions and anxiety. The candidate is quite friendly and compassionate. The candidate tends to be more cooperative polite kind and friendly. The candidate is relatively extravagant and careless. The candidate tends to be less careful or diligent. The candidate is very inventive and curious. The candidate tends to be more open to new ideas and experiences. In particular they said that they have a rich vocabulary. ```,```The candidate is...```,"```Here is a statistical description of the candidate.
| Factor | Z-score | Relevant question |
|:------|------:|:--------------------|
| extraversion | 1.131 | In particular they said that they feel comfortable around people. |
| neuroticism | -0.824 |   |
| agreeableness | 0.535 |   |
| conscientiousness | -0.205 |   |
| openness | 1.750 | In particular they said that they have a rich vocabulary. |```","```The candidate is very outgoing and energetic. The candidate tends to be more social. In particular they said that they feel comfortable around people. The candidate is quite resilient and confident. The candidate tends to feel less negative emotions and anxiety. The candidate is quite friendly and compassionate. The candidate tends to be more cooperative polite kind and friendly. The candidate is relatively extravagant and careless. The candidate tends to be less careful or diligent. The candidate is very inventive and curious. The candidate tends to be more open to new ideas and experiences. In particular they said that they have a rich vocabulary. 
| Factor | Z-score | Relevant question |
|:------|------:|:--------------------|
| extraversion | 1.131 | In particular they said that they feel comfortable around people. |
| neuroticism | -0.824 |   |
| agreeableness | 0.535 |   |
| conscientiousness | -0.205 |   |
| openness | 1.750 | In particular they said that they have a rich vocabulary. |```"
C_3,```The candidate is relatively outgoing and energetic. The candidate tends to be more social. The candidate is very sensitive and nervous. The candidate tends to feel more negative emotions and anxiety. In particular they said that they are relaxed most of the time. The candidate is relatively critical and rational. The candidate tends to be less cooperative polite kind and friendly. The candidate is relatively efficient and organized. The candidate tends to be more careful or diligent. The candidate is quite consistent and cautious. The candidate tends to be less open to new ideas and experiences. ```,```The candidate is...```,"```Here is a statistical description of the candidate.
| Factor | Z-score | Relevant question |
|:------|------:|:--------------------|
| extraversion | 0.189 |   |
| neuroticism | 1.597 | In particular they said that they are relaxed most of the time.  |
| agreeableness | -0.132 |   |
| conscientiousness | 0.096 |   |
| openness | -0.590 |   |```","```The candidate is relatively outgoing and energetic. The candidate tends to be more social. The candidate is very sensitive and nervous. The candidate tends to feel more negative emotions and anxiety. In particular they said that they are relaxed most of the time. The candidate is relatively critical and rational. The candidate tends to be less cooperative polite kind and friendly. The candidate is relatively efficient and organized. The candidate tends to be more careful or diligent. The candidate is quite consistent and cautious. The candidate tends to be less open to new ideas and experiences. 
| Factor | Z-score | Relevant question |
|:------|------:|:--------------------|
| extraversion | 0.189 |   |
| neuroticism | 1.597 | In particular they said that they are relaxed most of the time.  |
| agreeableness | -0.132 |   |
| conscientiousness | 0.096 |   |
| openness | -0.590 |   |```"
C_4,```The candidate is relatively solitary and reserved. The candidate tends to be less social. The candidate is very sensitive and nervous. The candidate tends to feel more negative emotions and anxiety. In particular they said that they are relaxed most of the time. The candidate is relatively critical and rational. The candidate tends to be less cooperative polite kind and friendly. The candidate is quite extravagant and careless. The candidate tends to be less careful or diligent. The candidate is very inventive and curious. The candidate tends to be more open to new ideas and experiences. In particular they said that they have a rich vocabulary. ```,```The candidate is...```,"```Here is a statistical description of the candidate.
| Factor | Z-score | Relevant question |
|:------|------:|:--------------------|
| extraversion | -0.230 |   |
| neuroticism | 1.866 | In particular they said that they are relaxed most of the time.  |
| agreeableness | -0.266 |   |
| conscientiousness | -0.658 |   |
| openness | 1.416 | In particular they said that they have a rich vocabulary. |```","```The candidate is relatively solitary and reserved. The candidate tends to be less social. The candidate is very sensitive and nervous. The candidate tends to feel more negative emotions and anxiety. In particular they said that they are relaxed most of the time. The candidate is relatively critical and rational. The candidate tends to be less cooperative polite kind and friendly. The candidate is quite extravagant and careless. The candidate tends to be less careful or diligent. The candidate is very inventive and curious. The candidate tends to be more open to new ideas and experiences. In particular they said that they have a rich vocabulary. 
| Factor | Z-score | Relevant question |
|:------|------:|:--------------------|
| extraversion | -0.230 |   |
| neuroticism | 1.866 | In particular they said that they are relaxed most of the time.  |
| agreeableness | -0.266 |   |
| conscientiousness | -0.658 |   |
| openness | 1.416 | In particular they said that they have a rich vocabulary. |```"
C_5,```The candidate is very outgoing and energetic. The candidate tends to be more social. In particular they said that they start conversations. The candidate is quite sensitive and nervous. The candidate tends to feel more negative emotions and anxiety. The candidate is quite critical and rational. The candidate tends to be less cooperative polite kind and friendly. The candidate is relatively extravagant and careless. The candidate tends to be less careful or diligent. The candidate is relatively inventive and curious. The candidate tends to be more open to new ideas and experiences. ```,```The candidate is...```,"```Here is a statistical description of the candidate.
| Factor | Z-score | Relevant question |
|:------|------:|:--------------------|
| extraversion | 1.655 | In particular they said that they start conversations. |
| neuroticism | 0.656 |   |
| agreeableness | -0.800 |   |
| conscientiousness | -0.205 |   |
| openness | 0.079 |   |```","```The candidate is very outgoing and energetic. The candidate tends to be more social. In particular they said that they start conversations. The candidate is quite sensitive and nervous. The candidate tends to feel more negative emotions and anxiety. The candidate is quite critical and rational. The candidate tends to be less cooperative polite kind and friendly. The candidate is relatively extravagant and careless. The candidate tends to be less careful or diligent. The candidate is relatively inventive and curious. The candidate tends to be more open to new ideas and experiences. 
| Factor | Z-score | Relevant question |
|:------|------:|:--------------------|
| extraversion | 1.655 | In particular they said that they start conversations. |
| neuroticism | 0.656 |   |
| agreeableness | -0.800 |   |
| conscientiousness | -0.205 |   |
| openness | 0.079 |   |```"
C_6,```The candidate is very outgoing and energetic. The candidate tends to be more social. In particular they said that they feel comfortable around people. The candidate is very resilient and confident. The candidate tends to feel less negative emotions and anxiety. In particular they said that they get stressed out easily. The candidate is relatively friendly and compassionate. The candidate tends to be more cooperative polite kind and friendly. The candidate is quite efficient and organized. The candidate tends to be more careful or diligent. The candidate is relatively consistent and cautious. The candidate tends to be less open to new ideas and experiences. ```,```The candidate is...```,"```Here is a statistical description of the candidate.
| Factor | Z-score | Relevant question |
|:------|------:|:--------------------|
| extraversion | 1.341 | In particular they said that they feel comfortable around people. |
| neuroticism | -1.093 | In particular they said that they get stressed out easily. |
| agreeableness | 0.001 |   |
| conscientiousness | 0.548 |   |
| openness | -0.088 |   |```","```The candidate is very outgoing and energetic. The candidate tends to be more social. In particular they said that they feel comfortable around people. The candidate is very resilient and confident. The candidate tends to feel less negative emotions and anxiety. In particular they said that they get stressed out easily. The candidate is relatively friendly and compassionate. The candidate tends to be more cooperative polite kind and friendly. The candidate is quite efficient and organized. The candidate tends to be more careful or diligent. The candidate is relatively consistent and cautious. The candidate tends to be less open to new ideas and experiences. 
| Factor | Z-score | Relevant question |
|:------|------:|:--------------------|
| extraversion | 1.341 | In particular they said that they feel comfortable around people. |
| neuroticism | -1.093 | In particular they said that they get stressed out easily. |
| agreeableness | 0.001 |   |
| conscientiousness | 0.548 |   |
| openness | -0.088 |   |```"
C_7,```The candidate is quite solitary and reserved. The candidate tends to be less social. The candidate is very sensitive and nervous. The candidate tends to feel more negative emotions and anxiety. In particular they said that they are relaxed most of the time. The candidate is relatively critical and rational. The candidate tends to be less cooperative polite kind and friendly. The candidate is very efficient and organized. The candidate tends to be more careful or diligent. In particular they said that they are always prepared. The candidate is relatively inventive and curious. The candidate tends to be more open to new ideas and experiences. ```,```The candidate is...```,"```Here is a statistical description of the candidate.
| Factor | Z-score | Relevant question |
|:------|------:|:--------------------|
| extraversion | -0.963 |   |
| neuroticism | 1.463 | In particular they said that they are relaxed most of the time.  |
| agreeableness | -0.399 |   |
| conscientiousness | 1.604 | In particular they said that they are always prepared. |
| openness | 0.246 |   |```","```The candidate is quite solitary and reserved. The candidate tends to be less social. The candidate is very sensitive and nervous. The candidate tends to feel more negative emotions and anxiety. In particular they said that they are relaxed most of the time. The candidate is relatively critical and rational. The candidate tends to be less cooperative polite kind and friendly. The candidate is very efficient and organized. The candidate tends to be more careful or diligent. In particular they said that they are always prepared. The candidate is relatively inventive and curious. The candidate tends to be more open to new ideas and experiences. 
| Factor | Z-score | Relevant question |
|:------|------:|:--------------------|
| extraversion | -0.963 |   |
| neuroticism | 1.463 | In particular they said that they are relaxed most of the time.  |
| agreeableness | -0.399 |   |
| conscientiousness | 1.604 | In particular they said that they are always prepared. |
| openness | 0.246 |   |```"
C_8,```The candidate is quite solitary and reserved. The candidate tends to be less social. The candidate is relatively resilient and confident. The candidate tends to feel less negative emotions and anxiety. The candidate is relatively friendly and compassionate. The candidate tends to be more cooperative polite kind and friendly. The candidate is very efficient and organized. The candidate tends to be more careful or diligent. In particular they said that they are always prepared. The candidate is very consistent and cautious. The candidate tends to be less open to new ideas and experiences. In particular they said that they have difficulty understanding abstract ideas. ```,```The candidate is...```,"```Here is a statistical description of the candidate.
| Factor | Z-score | Relevant question |
|:------|------:|:--------------------|
| extraversion | -0.753 |   |
| neuroticism | -0.152 |   |
| agreeableness | 0.268 |   |
| conscientiousness | 1.001 | In particular they said that they are always prepared. |
| openness | -1.760 | In particular they said that they have difficulty understanding abstract ideas. |```","```The candidate is quite solitary and reserved. The candidate tends to be less social. The candidate is relatively resilient and confident. The candidate tends to feel less negative emotions and anxiety. The candidate is relatively friendly and compassionate. The candidate tends to be more cooperative polite kind and friendly. The candidate is very efficient and organized. The candidate tends to be more careful or diligent. In particular they said that they are always prepared. The candidate is very consistent and cautious. The candidate tends to be less open to new ideas and experiences. In particular they said that they have difficulty understanding abstract ideas. 
| Factor | Z-score | Relevant question |
|:------|------:|:--------------------|
| extraversion | -0.753 |   |
| neuroticism | -0.152 |   |
| agreeableness | 0.268 |   |
| conscientiousness | 1.001 | In particular they said that they are always prepared. |
| openness | -1.760 | In particular they said that they have difficulty understanding abstract ideas. |```"
C_9,```The candidate is relatively solitary and reserved. The candidate tends to be less social. The candidate is relatively sensitive and nervous. The candidate tends to feel more negative emotions and anxiety. The candidate is relatively critical and rational. The candidate tends to be less cooperative polite kind and friendly. The candidate is relatively efficient and organized. The candidate tends to be more careful or diligent. The candidate is very inventive and curious. The candidate tends to be more open to new ideas and experiences. In particular they said that they have a rich vocabulary. ```,```The candidate is...```,"```Here is a statistical description of the candidate.
| Factor | Z-score | Relevant question |
|:------|------:|:--------------------|
| extraversion | -0.230 |   |
| neuroticism | 0.252 |   |
| agreeableness | -0.399 |   |
| conscientiousness | 0.096 |   |
| openness | 1.917 | In particular they said that they have a rich vocabulary. |```","```The candidate is relatively solitary and reserved. The candidate tends to be less social. The candidate is relatively sensitive and nervous. The candidate tends to feel more negative emotions and anxiety. The candidate is relatively critical and rational. The candidate tends to be less cooperative polite kind and friendly. The candidate is relatively efficient and organized. The candidate tends to be more careful or diligent. The candidate is very inventive and curious. The candidate tends to be more open to new ideas and experiences. In particular they said that they have a rich vocabulary. 
| Factor | Z-score | Relevant question |
|:------|------:|:--------------------|
| extraversion | -0.230 |   |
| neuroticism | 0.252 |   |
| agreeableness | -0.399 |   |
| conscientiousness | 0.096 |   |
| openness | 1.917 | In particular they said that they have a rich vocabulary. |```"
