player,npxG_adjusted_per90,final_third_passes_adjusted_per90,final_third_receptions_adjusted_per90,ground_duels_won_adjusted_per90,air_duels_won_adjusted_per90,smart_passes_adjusted_per90,goals_adjusted_per90,assists_adjusted_per90,key_passes_adjusted_per90,Minutes
W. Bony,below average,poor,poor,average,excellent,average,average,poor,below average,poor
Álvaro Morata,good,average,average,good,average,average,good,good,average,good
Jesé Rodríguez,poor,average,good,good,below average,average,below average,good,excellent,poor
Joselu,good,average,below average,below average,outstanding,below average,average,below average,average,average
Deulofeu,poor,average,good,good,below average,excellent,below average,poor,average,poor
Pedro,below average,good,good,average,below average,average,below average,average,below average,average
A. Sánchez,below average,outstanding,outstanding,outstanding,below average,outstanding,average,good,outstanding,excellent
S. Rondón,average,average,average,excellent,good,below average,average,below average,below average,excellent
T. Hemed,average,poor,average,below average,outstanding,below average,average,average,poor,poor
Philippe Coutinho,poor,outstanding,outstanding,excellent,below average,outstanding,average,outstanding,outstanding,below average
T. Walcott,below average,average,good,good,below average,below average,below average,good,average,below average
R. Lukaku,good,average,average,average,average,average,good,excellent,average,outstanding
D. Sturridge,average,average,average,good,below average,outstanding,average,average,average,poor
J. Hernández,average,average,poor,average,below average,below average,excellent,poor,good,average
W. Rooney,poor,excellent,average,poor,below average,average,average,below average,average,good
D. Welbeck,average,average,average,average,below average,below average,average,average,average,below average
A. Carroll,average,below average,average,average,outstanding,below average,average,poor,average,poor
J. Defoe,good,poor,poor,poor,below average,average,average,average,below average,below average
S. Agüero,excellent,average,average,average,below average,average,outstanding,excellent,excellent,average
S. Long,average,average,average,below average,average,below average,poor,below average,good,average
G. Murray,average,below average,average,below average,good,average,average,poor,average,good
M. Antonio,below average,average,average,outstanding,average,average,below average,average,average,average
H. Robson-Kanu,average,average,average,excellent,average,average,average,poor,average,poor
H. Kane,outstanding,below average,below average,average,average,average,outstanding,below average,average,outstanding
P. Crouch,average,below average,below average,poor,outstanding,below average,average,average,below average,average
T. Deeney,below average,average,below average,poor,excellent,average,poor,below average,below average,average
C. Austin,outstanding,below average,below average,poor,average,below average,excellent,poor,poor,below average
J. Rodriguez,average,average,average,average,average,below average,average,poor,below average,excellent
A. Barnes,average,below average,average,average,average,average,good,poor,below average,good
S. Vokes,average,poor,below average,poor,outstanding,poor,average,poor,poor,below average
C. Wood,excellent,below average,average,poor,good,below average,outstanding,below average,average,average
S. Berahino,poor,average,poor,below average,average,poor,poor,excellent,poor,poor
J. King,below average,average,average,outstanding,average,average,below average,average,outstanding,excellent
A. Gray,average,average,below average,below average,below average,average,average,average,average,average
R. Sterling,good,excellent,outstanding,average,below average,average,good,outstanding,good,excellent
C. Wilson,average,below average,below average,average,below average,average,average,average,below average,average
D. Gayle,excellent,average,below average,poor,average,below average,average,good,poor,average
J. Vardy,average,poor,poor,poor,average,below average,good,below average,average,outstanding
M. Arnautović,excellent,good,good,good,below average,average,good,excellent,good,good
S. Okazaki,excellent,average,poor,average,average,average,good,poor,average,average
Son Heung-Min,below average,outstanding,outstanding,average,below average,average,average,good,average,good
M. Diouf,average,below average,average,below average,excellent,below average,average,below average,average,excellent
E. Choupo-Moting,average,average,average,excellent,average,average,below average,good,average,good
Roberto Firmino,below average,good,average,average,below average,excellent,average,average,average,excellent
E. Kachunga,poor,average,below average,good,average,below average,poor,average,average,average
C. Quaner,poor,good,average,good,below average,below average,poor,outstanding,average,average
S. Okaka,below average,average,average,excellent,average,average,below average,good,below average,poor
M. Gabbiadini,below average,poor,poor,poor,below average,below average,average,poor,average,below average
A. Lacazette,average,average,good,average,below average,average,average,average,outstanding,good
J. Ayew,below average,average,average,outstanding,average,below average,below average,below average,below average,outstanding
A. Ayew,below average,average,poor,average,average,below average,below average,average,poor,average
E. Hazard,below average,outstanding,outstanding,outstanding,below average,outstanding,average,average,outstanding,good
S. Mané,average,excellent,excellent,good,below average,outstanding,average,average,good,good
P. Aubameyang,excellent,average,below average,poor,below average,below average,outstanding,outstanding,average,below average
O. Giroud,excellent,average,good,poor,good,average,excellent,average,good,below average
C. Tosun,average,average,average,below average,average,below average,excellent,poor,average,below average
C. Benteke,good,below average,below average,below average,outstanding,below average,poor,average,average,good
L. Depoitre,poor,poor,poor,average,excellent,below average,average,poor,poor,average
G. Carrillo,poor,below average,poor,poor,good,average,poor,good,poor,poor
J. Izquierdo,below average,good,average,average,below average,below average,average,good,average,average
I. Slimani,poor,good,average,average,average,average,average,outstanding,outstanding,poor
Mohamed Salah,excellent,good,good,average,below average,good,outstanding,good,average,outstanding
B. Afobe,average,average,poor,average,average,poor,poor,poor,poor,poor
A. Martial,average,outstanding,outstanding,excellent,below average,excellent,good,outstanding,outstanding,average
O. Niasse,outstanding,average,good,average,average,average,outstanding,average,average,below average
S. Mounié,average,below average,below average,poor,outstanding,poor,good,below average,below average,average
Ayoze Pérez,average,average,average,good,average,average,average,good,good,excellent
L. Mousset,below average,average,average,excellent,below average,good,average,poor,average,poor
F. Diabaté,poor,excellent,excellent,excellent,average,average,poor,average,good,poor
K. Iheanacho,outstanding,average,average,below average,below average,excellent,average,excellent,good,poor
D. Solanke,good,average,average,below average,average,average,poor,excellent,good,poor
D. Calvert-Lewin,average,below average,average,average,outstanding,below average,below average,excellent,below average,average
Gabriel Jesus,good,average,below average,poor,below average,average,excellent,average,average,average
T. Abraham,good,poor,poor,average,average,average,average,below average,below average,average
Richarlison,average,average,good,excellent,average,average,below average,average,below average,outstanding
M. Rashford,below average,average,good,average,below average,good,average,good,good,average
